,,,,,sum,sum,sum,sum,sum,sum,sum
result_1,,,,,compile,faulty source,incorrect,runtime,success,unicode error,All
dataset,model_name,template,source_lang,target_lang,,,,,,,
avatar,llamafile_codestral,216,216,216,0,216,0,0,0,0,216
avatar,llamafile_codestral,240,240,240,0,0,240,0,0,0,240
avatar,llamafile_codestral,307,307,307,307,0,0,0,0,0,307
avatar,llamafile_codestral,349,349,349,0,0,0,349,0,0,349
avatar,llamafile_codestral,884,884,884,0,0,0,0,884,0,884
avatar,llamafile_dolphin-2.6-mistral,150,150,150,0,0,0,0,150,0,150
avatar,llamafile_dolphin-2.6-mistral,216,216,216,0,864,0,0,0,0,864
avatar,llamafile_dolphin-2.6-mistral,219,219,219,0,0,219,0,0,0,219
avatar,llamafile_dolphin-2.6-mistral,252,252,252,0,0,0,0,252,0,252
avatar,llamafile_dolphin-2.6-mistral,273,273,273,0,0,273,0,0,0,273
avatar,llamafile_dolphin-2.6-mistral,276,276,276,0,0,0,552,0,0,552
avatar,llamafile_dolphin-2.6-mistral,281,281,281,0,0,0,0,281,0,281
avatar,llamafile_dolphin-2.6-mistral,287,287,287,0,0,0,287,0,0,287
avatar,llamafile_dolphin-2.6-mistral,296,296,296,0,0,0,0,296,0,296
avatar,llamafile_dolphin-2.6-mistral,297,297,297,0,0,297,0,0,0,297
avatar,llamafile_dolphin-2.6-mistral,350,350,350,0,0,0,350,0,0,350
avatar,llamafile_dolphin-2.6-mistral,421,421,421,0,0,421,0,0,0,421
avatar,llamafile_dolphin-2.6-mistral,859,859,859,859,0,0,0,0,0,859
avatar,llamafile_dolphin-2.6-mistral,911,911,911,911,0,0,0,0,0,911
avatar,llamafile_dolphin-2.6-mistral,950,950,950,950,0,0,0,0,0,950
avatar,llamafile_dolphin-2.6-mistral,1022,1022,1022,1022,0,0,0,0,0,1022
avatar,llamafile_dolphin-2.6-phi-2,26,26,26,0,0,0,0,26,0,26
avatar,llamafile_dolphin-2.6-phi-2,46,46,46,0,0,0,0,46,0,46
avatar,llamafile_dolphin-2.6-phi-2,115,115,115,0,0,0,115,0,0,115
avatar,llamafile_dolphin-2.6-phi-2,149,149,149,0,0,149,0,0,0,149
avatar,llamafile_dolphin-2.6-phi-2,165,165,165,0,0,165,0,0,0,165
avatar,llamafile_dolphin-2.6-phi-2,179,179,179,0,0,0,179,0,0,179
avatar,llamafile_dolphin-2.6-phi-2,216,216,216,0,432,0,0,0,0,432
avatar,llamafile_dolphin-2.6-phi-2,1390,1390,1390,1390,0,0,0,0,0,1390
avatar,llamafile_dolphin-2.6-phi-2,1490,1490,1490,1490,0,0,0,0,0,1490
avatar,llamafile_dolphin-2.7-mixtral,216,216,216,0,216,0,0,0,0,216
avatar,llamafile_dolphin-2.7-mixtral,270,270,270,0,0,270,0,0,0,270
avatar,llamafile_dolphin-2.7-mixtral,370,370,370,0,0,0,0,370,0,370
avatar,llamafile_dolphin-2.7-mixtral,383,383,383,0,0,0,383,0,0,383
avatar,llamafile_dolphin-2.7-mixtral,757,757,757,757,0,0,0,0,0,757
avatar,llamafile_mistral,37,37,37,0,0,0,0,37,0,37
avatar,llamafile_mistral,70,70,70,0,0,0,0,70,0,70
avatar,llamafile_mistral,74,74,74,0,0,0,0,74,0,74
avatar,llamafile_mistral,99,99,99,0,0,0,0,99,0,99
avatar,llamafile_mistral,136,136,136,0,0,136,0,0,0,136
avatar,llamafile_mistral,145,145,145,0,0,145,0,0,0,145
avatar,llamafile_mistral,158,158,158,0,0,158,0,0,0,158
avatar,llamafile_mistral,205,205,205,0,0,0,205,0,0,205
avatar,llamafile_mistral,213,213,213,0,0,0,213,0,0,213
