,,,,,sum,sum,sum,sum,sum,sum
result_1,,,,,compile,incorrect,runtime,success,unicode error,All
dataset,model_name,template,source_lang,target_lang,,,,,,
avatar,llamafile_codestral,12,12,12,0,0,0,0,12,12
avatar,llamafile_codestral,316,316,316,0,316,0,0,0,316
avatar,llamafile_codestral,363,363,363,363,0,0,0,0,363
avatar,llamafile_codestral,401,401,401,0,0,401,0,0,401
avatar,llamafile_codestral,904,904,904,0,0,0,904,0,904
avatar,llamafile_dolphin-2.6-mistral,12,12,12,0,0,0,0,12,12
avatar,llamafile_dolphin-2.6-mistral,293,293,293,0,0,0,293,0,293
avatar,llamafile_dolphin-2.6-mistral,308,308,308,0,0,308,0,0,308
avatar,llamafile_dolphin-2.6-mistral,345,345,345,0,345,0,0,0,345
avatar,llamafile_dolphin-2.6-mistral,1038,1038,1038,1038,0,0,0,0,1038
avatar,llamafile_dolphin-2.6-phi-2,8,8,8,0,0,0,0,8,8
avatar,llamafile_dolphin-2.6-phi-2,21,21,21,0,0,0,21,0,21
avatar,llamafile_dolphin-2.6-phi-2,130,130,130,0,0,130,0,0,130
avatar,llamafile_dolphin-2.6-phi-2,175,175,175,0,175,0,0,0,175
avatar,llamafile_dolphin-2.6-phi-2,1662,1662,1662,1662,0,0,0,0,1662
avatar,llamafile_dolphin-2.7-mixtral,12,12,12,0,0,0,0,12,12
avatar,llamafile_dolphin-2.7-mixtral,331,331,331,0,331,0,0,0,331
avatar,llamafile_dolphin-2.7-mixtral,367,367,367,0,0,0,367,0,367
avatar,llamafile_dolphin-2.7-mixtral,417,417,417,0,0,417,0,0,417
avatar,llamafile_dolphin-2.7-mixtral,869,869,869,869,0,0,0,0,869
avatar,llamafile_mistral,7,7,7,0,0,0,0,7,7
avatar,llamafile_mistral,18,18,18,0,18,0,0,0,18
avatar,llamafile_mistral,21,21,21,0,0,21,0,0,21
avatar,llamafile_mistral,1950,1950,1950,1950,0,0,0,0,1950
avatar,llamafile_mixtral,10,10,10,0,0,0,0,10,10
avatar,llamafile_mixtral,71,71,71,0,0,0,71,0,71
avatar,llamafile_mixtral,76,76,76,0,0,76,0,0,76
avatar,llamafile_mixtral,84,84,84,0,84,0,0,0,84
avatar,llamafile_mixtral,1755,1755,1755,1755,0,0,0,0,1755
avatar,llamafile_phi3,3,3,3,0,3,3,0,0,6
avatar,llamafile_phi3,4,4,4,0,0,0,0,4,4
avatar,llamafile_phi3,1986,1986,1986,1986,0,0,0,0,1986
avatar,ollama_llama3-8b,206,206,206,0,0,0,0,206,206
avatar,ollama_llama3-8b,1790,1790,1790,1790,0,0,0,0,1790
bithacks,llamafile_codestral,4,4,4,0,0,0,0,4,4
bithacks,llamafile_codestral,6,6,6,0,6,0,0,0,6
bithacks,llamafile_codestral,9,9,9,0,0,9,0,0,9
bithacks,llamafile_codestral,10,10,10,10,0,0,0,0,10
bithacks,llamafile_codestral,27,27,27,0,0,0,27,0,27
bithacks,llamafile_dolphin-2.6-mistral,3,3,3,0,0,0,0,3,3
bithacks,llamafile_dolphin-2.6-mistral,4,4,4,0,0,4,0,0,4
bithacks,llamafile_dolphin-2.6-mistral,6,6,6,0,6,0,0,0,6
bithacks,llamafile_dolphin-2.6-mistral,12,12,12,0,0,0,12,0,12
bithacks,llamafile_dolphin-2.6-mistral,31,31,31,31,0,0,0,0,31
bithacks,llamafile_dolphin-2.6-phi-2,1,1,1,0,0,0,0,1,1
bithacks,llamafile_dolphin-2.6-phi-2,3,3,3,0,3,0,0,0,3
bithacks,llamafile_dolphin-2.6-phi-2,5,5,5,0,0,5,0,0,5
bithacks,llamafile_dolphin-2.6-phi-2,47,47,47,47,0,0,0,0,47
bithacks,llamafile_dolphin-2.7-mixtral,4,4,4,0,0,4,0,4,8
bithacks,llamafile_dolphin-2.7-mixtral,9,9,9,0,9,0,0,0,9
bithacks,llamafile_dolphin-2.7-mixtral,12,12,12,0,0,0,12,0,12
bithacks,llamafile_dolphin-2.7-mixtral,27,27,27,27,0,0,0,0,27
bithacks,llamafile_mistral,56,56,56,56,0,0,0,0,56
bithacks,llamafile_mixtral,1,1,1,0,0,1,0,0,1
bithacks,llamafile_mixtral,2,2,2,0,0,0,0,2,2
bithacks,llamafile_mixtral,3,3,3,0,0,0,3,0,3
bithacks,llamafile_mixtral,5,5,5,0,5,0,0,0,5
bithacks,llamafile_mixtral,45,45,45,45,0,0,0,0,45
bithacks,llamafile_phi3,56,56,56,56,0,0,0,0,56
bithacks,ollama_llama3-8b,56,56,56,56,0,0,0,0,56
codenet,llamafile_codestral,36,36,36,0,0,0,0,36,36
codenet,llamafile_codestral,155,155,155,0,155,0,0,0,155
codenet,llamafile_codestral,291,291,291,291,0,0,0,0,291
codenet,llamafile_codestral,492,492,492,0,0,492,0,0,492
codenet,llamafile_codestral,1426,1426,1426,0,0,0,1426,0,1426
codenet,llamafile_dolphin-2.6-mistral,36,36,36,0,0,0,0,36,36
codenet,llamafile_dolphin-2.6-mistral,326,326,326,0,326,0,0,0,326
codenet,llamafile_dolphin-2.6-mistral,400,400,400,0,0,400,0,0,400
codenet,llamafile_dolphin-2.6-mistral,630,630,630,0,0,0,630,0,630
codenet,llamafile_dolphin-2.6-mistral,1008,1008,1008,1008,0,0,0,0,1008
codenet,llamafile_dolphin-2.6-phi-2,108,108,108,0,0,0,108,0,108
codenet,llamafile_dolphin-2.6-phi-2,121,121,121,0,0,0,0,121,121
codenet,llamafile_dolphin-2.6-phi-2,239,239,239,0,0,239,0,0,239
codenet,llamafile_dolphin-2.6-phi-2,324,324,324,0,324,0,0,0,324
codenet,llamafile_dolphin-2.6-phi-2,1608,1608,1608,1608,0,0,0,0,1608
codenet,llamafile_dolphin-2.7-mixtral,36,36,36,0,0,0,0,36,36
codenet,llamafile_dolphin-2.7-mixtral,313,313,313,0,313,0,0,0,313
codenet,llamafile_dolphin-2.7-mixtral,467,467,467,0,0,467,0,0,467
codenet,llamafile_dolphin-2.7-mixtral,732,732,732,0,0,0,732,0,732
codenet,llamafile_dolphin-2.7-mixtral,852,852,852,852,0,0,0,0,852
codenet,llamafile_mistral,7,7,7,0,0,0,7,0,7
codenet,llamafile_mistral,30,30,30,0,0,0,0,30,30
codenet,llamafile_mistral,31,31,31,0,0,31,0,0,31
codenet,llamafile_mistral,35,35,35,0,35,0,0,0,35
codenet,llamafile_mistral,2297,2297,2297,2297,0,0,0,0,2297
codenet,llamafile_mixtral,32,32,32,0,0,0,0,32,32
codenet,llamafile_mixtral,92,92,92,0,92,0,0,0,92
codenet,llamafile_mixtral,117,117,117,0,0,117,0,0,117
codenet,llamafile_mixtral,164,164,164,0,0,0,164,0,164
codenet,llamafile_mixtral,1995,1995,1995,1995,0,0,0,0,1995
codenet,llamafile_phi3,1,1,1,0,1,0,0,0,1
codenet,llamafile_phi3,3,3,3,0,0,3,0,0,3
codenet,llamafile_phi3,24,24,24,0,0,0,0,24,24
codenet,llamafile_phi3,2372,2372,2372,2372,0,0,0,0,2372
