,,,,,sum,sum,sum,sum,sum,sum
result_1,,,,,compile,incorrect,runtime,success,unicode error,All
dataset,model_name,template,source_lang,target_lang,,,,,,
avatar,llamafile_codestral,12,12,12,0,0,0,0,12,12
avatar,llamafile_codestral,314,314,314,0,314,0,0,0,314
avatar,llamafile_codestral,382,382,382,382,0,0,0,0,382
avatar,llamafile_codestral,392,392,392,0,0,392,0,0,392
avatar,llamafile_codestral,896,896,896,0,0,0,896,0,896
avatar,llamafile_dolphin-2.6-mistral,12,12,12,0,0,0,0,12,12
avatar,llamafile_dolphin-2.6-mistral,293,293,293,0,0,0,293,0,293
avatar,llamafile_dolphin-2.6-mistral,309,309,309,0,0,309,0,0,309
avatar,llamafile_dolphin-2.6-mistral,345,345,345,0,345,0,0,0,345
avatar,llamafile_dolphin-2.6-mistral,1037,1037,1037,1037,0,0,0,0,1037
avatar,llamafile_dolphin-2.6-phi-2,8,8,8,0,0,0,0,8,8
avatar,llamafile_dolphin-2.6-phi-2,20,20,20,0,0,0,20,0,20
avatar,llamafile_dolphin-2.6-phi-2,126,126,126,0,0,126,0,0,126
avatar,llamafile_dolphin-2.6-phi-2,176,176,176,0,176,0,0,0,176
avatar,llamafile_dolphin-2.6-phi-2,1666,1666,1666,1666,0,0,0,0,1666
avatar,llamafile_dolphin-2.7-mixtral,12,12,12,0,0,0,0,12,12
avatar,llamafile_dolphin-2.7-mixtral,311,311,311,0,311,0,0,0,311
avatar,llamafile_dolphin-2.7-mixtral,375,375,375,0,0,0,375,0,375
avatar,llamafile_dolphin-2.7-mixtral,426,426,426,0,0,426,0,0,426
avatar,llamafile_dolphin-2.7-mixtral,872,872,872,872,0,0,0,0,872
avatar,llamafile_mistral,12,12,12,0,0,0,0,12,12
avatar,llamafile_mistral,91,91,91,0,0,0,91,0,91
avatar,llamafile_mistral,157,157,157,0,157,0,0,0,157
avatar,llamafile_mistral,258,258,258,0,0,258,0,0,258
avatar,llamafile_mistral,1478,1478,1478,1478,0,0,0,0,1478
avatar,llamafile_mixtral,12,12,12,0,0,0,0,12,12
avatar,llamafile_mixtral,272,272,272,0,0,272,0,0,272
avatar,llamafile_mixtral,300,300,300,0,0,0,300,0,300
avatar,llamafile_mixtral,301,301,301,0,301,0,0,0,301
avatar,llamafile_mixtral,1111,1111,1111,1111,0,0,0,0,1111
avatar,llamafile_phi3,12,12,12,0,0,0,0,12,12
avatar,llamafile_phi3,98,98,98,0,0,0,98,0,98
avatar,llamafile_phi3,206,206,206,0,206,0,0,0,206
avatar,llamafile_phi3,345,345,345,0,0,345,0,0,345
avatar,llamafile_phi3,1335,1335,1335,1335,0,0,0,0,1335
avatar,ollama_llama3-8b,186,186,186,0,186,0,0,0,186
avatar,ollama_llama3-8b,201,201,201,0,0,0,201,0,201
avatar,ollama_llama3-8b,214,214,214,0,0,0,0,214,214
avatar,ollama_llama3-8b,276,276,276,0,0,276,0,0,276
avatar,ollama_llama3-8b,1119,1119,1119,1119,0,0,0,0,1119
bithacks,llamafile_codestral,4,4,4,0,0,0,0,4,4
bithacks,llamafile_codestral,6,6,6,0,6,0,0,0,6
bithacks,llamafile_codestral,9,9,9,0,0,9,0,0,9
bithacks,llamafile_codestral,10,10,10,10,0,0,0,0,10
bithacks,llamafile_codestral,27,27,27,0,0,0,27,0,27
bithacks,llamafile_dolphin-2.6-mistral,3,3,3,0,0,0,0,3,3
bithacks,llamafile_dolphin-2.6-mistral,4,4,4,0,0,4,0,0,4
bithacks,llamafile_dolphin-2.6-mistral,6,6,6,0,6,0,0,0,6
bithacks,llamafile_dolphin-2.6-mistral,12,12,12,0,0,0,12,0,12
bithacks,llamafile_dolphin-2.6-mistral,31,31,31,31,0,0,0,0,31
bithacks,llamafile_dolphin-2.6-phi-2,1,1,1,0,0,0,0,1,1
bithacks,llamafile_dolphin-2.6-phi-2,3,3,3,0,3,0,0,0,3
bithacks,llamafile_dolphin-2.6-phi-2,5,5,5,0,0,5,0,0,5
bithacks,llamafile_dolphin-2.6-phi-2,47,47,47,47,0,0,0,0,47
bithacks,llamafile_dolphin-2.7-mixtral,4,4,4,0,0,4,0,4,8
bithacks,llamafile_dolphin-2.7-mixtral,9,9,9,0,9,0,0,0,9
bithacks,llamafile_dolphin-2.7-mixtral,12,12,12,0,0,0,12,0,12
bithacks,llamafile_dolphin-2.7-mixtral,27,27,27,27,0,0,0,0,27
bithacks,llamafile_mistral,1,1,1,0,0,0,1,0,1
bithacks,llamafile_mistral,3,3,3,0,0,3,0,3,6
bithacks,llamafile_mistral,5,5,5,0,5,0,0,0,5
bithacks,llamafile_mistral,44,44,44,44,0,0,0,0,44
bithacks,llamafile_mixtral,2,2,2,0,0,2,0,0,2
bithacks,llamafile_mixtral,4,4,4,0,0,0,0,4,4
bithacks,llamafile_mixtral,13,13,13,0,0,0,13,0,13
bithacks,llamafile_mixtral,15,15,15,0,15,0,0,0,15
bithacks,llamafile_mixtral,22,22,22,22,0,0,0,0,22
bithacks,llamafile_phi3,1,1,1,0,0,0,0,1,1
bithacks,llamafile_phi3,3,3,3,0,0,3,0,0,3
bithacks,llamafile_phi3,4,4,4,0,0,0,4,0,4
bithacks,llamafile_phi3,7,7,7,0,7,0,0,0,7
bithacks,llamafile_phi3,41,41,41,41,0,0,0,0,41
bithacks,ollama_llama3-8b,3,3,3,0,0,3,0,0,3
bithacks,ollama_llama3-8b,4,4,4,0,0,0,0,4,4
bithacks,ollama_llama3-8b,7,7,7,0,7,0,0,0,7
bithacks,ollama_llama3-8b,10,10,10,0,0,0,10,0,10
bithacks,ollama_llama3-8b,32,32,32,32,0,0,0,0,32
codenet,llamafile_codestral,36,36,36,0,0,0,0,36,36
codenet,llamafile_codestral,156,156,156,0,156,0,0,0,156
codenet,llamafile_codestral,291,291,291,291,0,0,0,0,291
codenet,llamafile_codestral,495,495,495,0,0,495,0,0,495
codenet,llamafile_codestral,1422,1422,1422,0,0,0,1422,0,1422
codenet,llamafile_dolphin-2.6-mistral,36,36,36,0,0,0,0,36,36
codenet,llamafile_dolphin-2.6-mistral,330,330,330,0,330,0,0,0,330
codenet,llamafile_dolphin-2.6-mistral,400,400,400,0,0,400,0,0,400
codenet,llamafile_dolphin-2.6-mistral,630,630,630,0,0,0,630,0,630
codenet,llamafile_dolphin-2.6-mistral,1004,1004,1004,1004,0,0,0,0,1004
codenet,llamafile_dolphin-2.6-phi-2,99,99,99,0,0,0,0,99,99
codenet,llamafile_dolphin-2.6-phi-2,100,100,100,0,0,0,100,0,100
codenet,llamafile_dolphin-2.6-phi-2,180,180,180,0,0,180,0,0,180
codenet,llamafile_dolphin-2.6-phi-2,323,323,323,0,323,0,0,0,323
codenet,llamafile_dolphin-2.6-phi-2,1698,1698,1698,1698,0,0,0,0,1698
codenet,llamafile_dolphin-2.7-mixtral,36,36,36,0,0,0,0,36,36
codenet,llamafile_dolphin-2.7-mixtral,272,272,272,0,272,0,0,0,272
codenet,llamafile_dolphin-2.7-mixtral,479,479,479,0,0,479,0,0,479
