,,,,,sum,sum,sum,sum,sum,sum
result_1,,,,,compile,incorrect,runtime,success,unicode error,All
dataset,model_name,template,source_lang,target_lang,,,,,,
avatar,llamafile_codestral,12,12,12,0,0,0,0,12,12
avatar,llamafile_codestral,145,145,145,0,145,0,0,0,145
avatar,llamafile_codestral,206,206,206,0,0,206,0,0,206
avatar,llamafile_codestral,422,422,422,0,0,0,422,0,422
avatar,llamafile_codestral,1211,1211,1211,1211,0,0,0,0,1211
avatar,llamafile_dolphin-2.6-mistral,12,12,12,0,0,0,0,12,12
avatar,llamafile_dolphin-2.6-mistral,293,293,293,0,0,0,293,0,293
avatar,llamafile_dolphin-2.6-mistral,308,308,308,0,0,308,0,0,308
avatar,llamafile_dolphin-2.6-mistral,344,344,344,0,344,0,0,0,344
avatar,llamafile_dolphin-2.6-mistral,1039,1039,1039,1039,0,0,0,0,1039
avatar,llamafile_dolphin-2.6-phi-2,8,8,8,0,0,0,0,8,8
avatar,llamafile_dolphin-2.6-phi-2,13,13,13,0,0,0,13,0,13
avatar,llamafile_dolphin-2.6-phi-2,72,72,72,0,0,72,0,0,72
avatar,llamafile_dolphin-2.6-phi-2,92,92,92,0,92,0,0,0,92
avatar,llamafile_dolphin-2.6-phi-2,1811,1811,1811,1811,0,0,0,0,1811
avatar,llamafile_dolphin-2.7-mixtral,12,12,12,0,0,0,0,12,12
avatar,llamafile_dolphin-2.7-mixtral,281,281,281,0,281,0,0,0,281
avatar,llamafile_dolphin-2.7-mixtral,351,351,351,0,0,0,351,0,351
avatar,llamafile_dolphin-2.7-mixtral,392,392,392,0,0,392,0,0,392
avatar,llamafile_dolphin-2.7-mixtral,960,960,960,960,0,0,0,0,960
avatar,llamafile_mistral,12,12,12,0,0,0,0,12,12
avatar,llamafile_mistral,51,51,51,0,0,0,51,0,51
avatar,llamafile_mistral,107,107,107,0,107,0,0,0,107
avatar,llamafile_mistral,154,154,154,0,0,154,0,0,154
avatar,llamafile_mistral,1672,1672,1672,1672,0,0,0,0,1672
avatar,llamafile_mixtral,12,12,12,0,0,0,0,12,12
avatar,llamafile_mixtral,198,198,198,0,0,0,198,0,198
avatar,llamafile_mixtral,230,230,230,0,0,230,0,0,230
avatar,llamafile_mixtral,235,235,235,0,235,0,0,0,235
avatar,llamafile_mixtral,1321,1321,1321,1321,0,0,0,0,1321
avatar,llamafile_phi3,12,12,12,0,0,0,0,12,12
avatar,llamafile_phi3,98,98,98,0,0,0,98,0,98
avatar,llamafile_phi3,206,206,206,0,206,0,0,0,206
avatar,llamafile_phi3,345,345,345,0,0,345,0,0,345
avatar,llamafile_phi3,1335,1335,1335,1335,0,0,0,0,1335
avatar,ollama_llama3-8b,108,108,108,0,108,0,0,0,108
avatar,ollama_llama3-8b,109,109,109,0,0,0,109,0,109
avatar,ollama_llama3-8b,125,125,125,0,0,125,0,0,125
avatar,ollama_llama3-8b,214,214,214,0,0,0,0,214,214
avatar,ollama_llama3-8b,1440,1440,1440,1440,0,0,0,0,1440
bithacks,llamafile_codestral,2,2,2,0,2,0,0,0,2
bithacks,llamafile_codestral,3,3,3,0,0,3,0,3,6
bithacks,llamafile_codestral,9,9,9,0,0,0,9,0,9
bithacks,llamafile_codestral,39,39,39,39,0,0,0,0,39
bithacks,llamafile_dolphin-2.6-mistral,3,3,3,0,0,0,0,3,3
bithacks,llamafile_dolphin-2.6-mistral,4,4,4,0,0,4,0,0,4
bithacks,llamafile_dolphin-2.6-mistral,6,6,6,0,6,0,0,0,6
bithacks,llamafile_dolphin-2.6-mistral,12,12,12,0,0,0,12,0,12
bithacks,llamafile_dolphin-2.6-mistral,31,31,31,31,0,0,0,0,31
bithacks,llamafile_dolphin-2.6-phi-2,1,1,1,0,1,0,0,0,1
bithacks,llamafile_dolphin-2.6-phi-2,3,3,3,0,0,3,0,0,3
bithacks,llamafile_dolphin-2.6-phi-2,52,52,52,52,0,0,0,0,52
bithacks,llamafile_dolphin-2.7-mixtral,3,3,3,0,0,3,0,0,3
bithacks,llamafile_dolphin-2.7-mixtral,4,4,4,0,0,0,0,4,4
bithacks,llamafile_dolphin-2.7-mixtral,9,9,9,0,9,0,0,0,9
bithacks,llamafile_dolphin-2.7-mixtral,12,12,12,0,0,0,12,0,12
bithacks,llamafile_dolphin-2.7-mixtral,28,28,28,28,0,0,0,0,28
bithacks,llamafile_mistral,1,1,1,0,0,0,1,0,1
bithacks,llamafile_mistral,2,2,2,0,0,2,0,2,4
bithacks,llamafile_mistral,4,4,4,0,4,0,0,0,4
bithacks,llamafile_mistral,47,47,47,47,0,0,0,0,47
bithacks,llamafile_mixtral,1,1,1,0,0,1,0,0,1
bithacks,llamafile_mixtral,3,3,3,0,0,0,0,3,3
bithacks,llamafile_mixtral,7,7,7,0,0,0,7,0,7
bithacks,llamafile_mixtral,12,12,12,0,12,0,0,0,12
bithacks,llamafile_mixtral,33,33,33,33,0,0,0,0,33
bithacks,llamafile_phi3,1,1,1,0,0,0,0,1,1
bithacks,llamafile_phi3,3,3,3,0,0,3,0,0,3
bithacks,llamafile_phi3,4,4,4,0,0,0,4,0,4
bithacks,llamafile_phi3,7,7,7,0,7,0,0,0,7
bithacks,llamafile_phi3,41,41,41,41,0,0,0,0,41
bithacks,ollama_llama3-8b,3,3,3,0,0,3,0,0,3
bithacks,ollama_llama3-8b,4,4,4,0,0,0,0,4,4
bithacks,ollama_llama3-8b,5,5,5,0,0,0,5,0,5
bithacks,ollama_llama3-8b,7,7,7,0,7,0,0,0,7
bithacks,ollama_llama3-8b,37,37,37,37,0,0,0,0,37
codenet,llamafile_codestral,36,36,36,0,0,0,0,36,36
codenet,llamafile_codestral,51,51,51,0,51,0,0,0,51
codenet,llamafile_codestral,204,204,204,0,0,204,0,0,204
codenet,llamafile_codestral,611,611,611,0,0,0,611,0,611
codenet,llamafile_codestral,1498,1498,1498,1498,0,0,0,0,1498
codenet,llamafile_dolphin-2.6-mistral,36,36,36,0,0,0,0,36,36
codenet,llamafile_dolphin-2.6-mistral,330,330,330,0,330,0,0,0,330
codenet,llamafile_dolphin-2.6-mistral,399,399,399,0,0,399,0,0,399
codenet,llamafile_dolphin-2.6-mistral,630,630,630,0,0,0,630,0,630
codenet,llamafile_dolphin-2.6-mistral,1005,1005,1005,1005,0,0,0,0,1005
codenet,llamafile_dolphin-2.6-phi-2,71,71,71,0,0,0,71,0,71
codenet,llamafile_dolphin-2.6-phi-2,98,98,98,0,0,0,0,98,98
codenet,llamafile_dolphin-2.6-phi-2,106,106,106,0,0,106,0,0,106
codenet,llamafile_dolphin-2.6-phi-2,207,207,207,0,207,0,0,0,207
codenet,llamafile_dolphin-2.6-phi-2,1918,1918,1918,1918,0,0,0,0,1918
codenet,llamafile_dolphin-2.7-mixtral,36,36,36,0,0,0,0,36,36
codenet,llamafile_dolphin-2.7-mixtral,246,246,246,0,246,0,0,0,246
codenet,llamafile_dolphin-2.7-mixtral,419,419,419,0,0,419,0,0,419
