,,,,,sum,sum,sum,sum,sum,sum,sum
result_1,,,,,compile,faulty source,incorrect,runtime,success,unicode error,All
dataset,model_name,template,source_lang,target_lang,,,,,,,
avatar,26,controlled_md,26,26,0,0,0,0,26,0,26
avatar,37,via_description,37,37,0,0,0,0,37,0,37
avatar,46,controlled,46,46,0,0,0,0,46,0,46
avatar,70,LIT,70,70,0,0,0,0,70,0,70
avatar,74,controlled,74,74,0,0,0,0,74,0,74
avatar,75,LIT,75,75,0,0,0,75,0,0,75
avatar,99,controlled_md,99,99,0,0,0,0,99,0,99
avatar,104,controlled_md,104,104,0,0,0,0,104,0,104
avatar,108,LIT,108,108,0,108,0,0,0,0,108
avatar,115,controlled_md,115,115,0,0,0,115,0,0,115
avatar,122,LIT,122,122,0,0,122,0,0,0,122
avatar,136,controlled_md,136,136,0,0,136,0,0,0,136
avatar,145,LIT,145,145,0,0,145,0,0,0,145
avatar,149,controlled_md,149,149,0,0,149,0,0,0,149
avatar,150,via_description,150,150,0,0,0,0,150,0,150
avatar,158,controlled,158,158,0,0,158,0,0,0,158
avatar,163,LIT,163,163,0,0,0,0,163,0,163
avatar,165,controlled,165,165,0,0,165,0,0,0,165
avatar,179,controlled,179,179,0,0,0,179,0,0,179
avatar,185,controlled_md,185,185,0,0,185,0,0,0,185
avatar,188,controlled_md,188,188,0,0,188,0,0,0,188
avatar,195,controlled,195,195,0,0,0,195,0,0,195
avatar,205,LIT,205,205,0,0,0,205,0,0,205
avatar,208,controlled_md,208,208,0,0,0,0,208,0,208
avatar,213,controlled,213,213,0,0,0,213,0,0,213
avatar,216,LIT,216,216,0,432,0,0,0,0,432
avatar,216,controlled,216,216,0,864,0,0,0,0,864
avatar,216,controlled_md,216,216,0,1728,0,0,0,0,1728
avatar,216,via_description,216,216,0,432,0,0,0,0,432
avatar,219,LIT,219,219,0,0,219,0,0,0,219
avatar,240,controlled_md,240,240,0,0,240,240,0,0,480
avatar,246,controlled,246,246,0,0,246,0,0,0,246
avatar,252,LIT,252,252,0,0,0,0,252,0,252
avatar,257,controlled_md,257,257,0,0,0,257,0,0,257
avatar,270,controlled_md,270,270,0,0,270,0,0,0,270
avatar,273,controlled,273,273,0,0,273,0,0,0,273
avatar,274,controlled_md,274,274,0,0,0,274,0,0,274
avatar,276,controlled,276,276,0,0,0,276,0,0,276
avatar,276,controlled_md,276,276,0,0,0,276,0,0,276
avatar,277,controlled,277,277,0,0,0,0,277,0,277
avatar,277,controlled_md,277,277,0,0,277,0,0,0,277
avatar,281,controlled,281,281,0,0,0,0,281,0,281
avatar,287,LIT,287,287,0,0,0,287,0,0,287
avatar,290,via_description,290,290,0,0,290,0,0,0,290
avatar,296,controlled_md,296,296,0,0,0,0,296,0,296
avatar,297,controlled_md,297,297,0,0,297,0,0,0,297
avatar,300,controlled_md,300,300,0,0,0,0,300,0,300
avatar,307,controlled_md,307,307,307,0,0,0,0,0,307
avatar,308,controlled_md,308,308,0,0,0,308,0,0,308
avatar,321,via_description,321,321,0,0,0,321,0,0,321
avatar,349,controlled_md,349,349,0,0,0,349,0,0,349
avatar,350,via_description,350,350,0,0,0,350,0,0,350
avatar,370,controlled_md,370,370,0,0,0,0,370,0,370
avatar,383,controlled_md,383,383,0,0,0,383,0,0,383
avatar,421,via_description,421,421,0,0,421,0,0,0,421
avatar,530,LIT,530,530,530,0,0,0,0,0,530
avatar,757,controlled_md,757,757,757,0,0,0,0,0,757
avatar,859,via_description,859,859,859,0,0,0,0,0,859
avatar,884,controlled_md,884,884,0,0,0,0,884,0,884
avatar,911,controlled_md,911,911,911,0,0,0,0,0,911
