,,,,,sum,sum,sum,sum,sum,sum
result_1,,,,,compile,incorrect,runtime,success,unicode error,All
dataset,model_name,template,source_lang,target_lang,,,,,,
avatar,3,controlled_md,3,3,0,3,3,0,0,6
avatar,4,controlled_md,4,4,0,0,0,0,4,4
avatar,7,controlled_md,7,7,0,0,0,0,7,7
avatar,8,controlled_md,8,8,0,0,0,0,8,8
avatar,10,controlled_md,10,10,0,0,0,0,10,10
avatar,12,controlled_md,12,12,0,0,0,0,36,36
avatar,18,controlled_md,18,18,0,18,0,0,0,18
avatar,21,controlled_md,21,21,0,0,21,21,0,42
avatar,71,controlled_md,71,71,0,0,0,71,0,71
avatar,76,controlled_md,76,76,0,0,76,0,0,76
avatar,84,controlled_md,84,84,0,84,0,0,0,84
avatar,130,controlled_md,130,130,0,0,130,0,0,130
avatar,175,controlled_md,175,175,0,175,0,0,0,175
avatar,206,controlled_md,206,206,0,0,0,0,206,206
avatar,293,controlled_md,293,293,0,0,0,293,0,293
avatar,308,controlled_md,308,308,0,0,308,0,0,308
avatar,316,controlled_md,316,316,0,316,0,0,0,316
avatar,331,controlled_md,331,331,0,331,0,0,0,331
avatar,345,controlled_md,345,345,0,345,0,0,0,345
avatar,363,controlled_md,363,363,363,0,0,0,0,363
avatar,367,controlled_md,367,367,0,0,0,367,0,367
avatar,401,controlled_md,401,401,0,0,401,0,0,401
avatar,417,controlled_md,417,417,0,0,417,0,0,417
avatar,869,controlled_md,869,869,869,0,0,0,0,869
avatar,904,controlled_md,904,904,0,0,0,904,0,904
avatar,1038,controlled_md,1038,1038,1038,0,0,0,0,1038
avatar,1662,controlled_md,1662,1662,1662,0,0,0,0,1662
avatar,1755,controlled_md,1755,1755,1755,0,0,0,0,1755
avatar,1790,controlled_md,1790,1790,1790,0,0,0,0,1790
avatar,1950,controlled_md,1950,1950,1950,0,0,0,0,1950
avatar,1986,controlled_md,1986,1986,1986,0,0,0,0,1986
bithacks,1,controlled_md,1,1,0,0,1,0,1,2
bithacks,2,controlled_md,2,2,0,0,0,0,2,2
bithacks,3,controlled_md,3,3,0,3,0,3,3,9
bithacks,4,controlled_md,4,4,0,0,8,0,8,16
bithacks,5,controlled_md,5,5,0,5,5,0,0,10
bithacks,6,controlled_md,6,6,0,12,0,0,0,12
bithacks,9,controlled_md,9,9,0,9,9,0,0,18
bithacks,10,controlled_md,10,10,10,0,0,0,0,10
bithacks,12,controlled_md,12,12,0,0,0,24,0,24
bithacks,27,controlled_md,27,27,27,0,0,27,0,54
bithacks,31,controlled_md,31,31,31,0,0,0,0,31
bithacks,45,controlled_md,45,45,45,0,0,0,0,45
bithacks,47,controlled_md,47,47,47,0,0,0,0,47
bithacks,56,controlled_md,56,56,168,0,0,0,0,168
codenet,1,controlled_md,1,1,0,1,0,0,0,1
codenet,3,controlled_md,3,3,0,0,3,0,0,3
codenet,7,controlled_md,7,7,0,0,0,7,0,7
codenet,24,controlled_md,24,24,0,0,0,0,24,24
codenet,30,controlled_md,30,30,0,0,0,0,30,30
codenet,31,controlled_md,31,31,0,0,31,0,0,31
codenet,32,controlled_md,32,32,0,0,0,0,32,32
codenet,35,controlled_md,35,35,0,35,0,0,0,35
codenet,36,controlled_md,36,36,0,0,0,0,144,144
codenet,92,controlled_md,92,92,0,92,0,0,0,92
codenet,108,controlled_md,108,108,0,0,0,108,0,108
codenet,117,controlled_md,117,117,0,0,117,0,0,117
codenet,121,controlled_md,121,121,0,0,0,0,121,121
codenet,155,controlled_md,155,155,0,155,0,0,0,155
codenet,164,controlled_md,164,164,0,0,0,164,0,164
codenet,239,controlled_md,239,239,0,0,239,0,0,239
codenet,291,controlled_md,291,291,291,0,0,0,0,291
codenet,313,controlled_md,313,313,0,313,0,0,0,313
codenet,324,controlled_md,324,324,0,324,0,0,0,324
codenet,326,controlled_md,326,326,0,326,0,0,0,326
codenet,400,controlled_md,400,400,0,0,400,0,0,400
codenet,467,controlled_md,467,467,0,0,467,0,0,467
codenet,492,controlled_md,492,492,0,0,492,0,0,492
codenet,630,controlled_md,630,630,0,0,0,630,0,630
codenet,732,controlled_md,732,732,0,0,0,732,0,732
codenet,852,controlled_md,852,852,852,0,0,0,0,852
codenet,1008,controlled_md,1008,1008,1008,0,0,0,0,1008
codenet,1426,controlled_md,1426,1426,0,0,0,1426,0,1426
codenet,1608,controlled_md,1608,1608,1608,0,0,0,0,1608
codenet,1995,controlled_md,1995,1995,1995,0,0,0,0,1995
codenet,2297,controlled_md,2297,2297,2297,0,0,0,0,2297
codenet,2364,controlled_md,2364,2364,2364,0,0,0,0,2364
codenet,2372,controlled_md,2372,2372,2372,0,0,0,0,2372
All,,,,,24528,2547,3128,4777,636,35616
