,,,,,sum,sum,sum,sum,sum,sum
result_1,,,,,compile,incorrect,runtime,success,unicode error,All
dataset,model_name,template,source_lang,target_lang,,,,,,
avatar,8,controlled_md,8,8,0,0,0,0,8,8
avatar,12,controlled_md,12,12,0,0,0,0,72,72
avatar,20,controlled_md,20,20,0,0,0,20,0,20
avatar,91,controlled_md,91,91,0,0,0,91,0,91
avatar,98,controlled_md,98,98,0,0,0,98,0,98
avatar,126,controlled_md,126,126,0,0,126,0,0,126
avatar,157,controlled_md,157,157,0,157,0,0,0,157
avatar,176,controlled_md,176,176,0,176,0,0,0,176
avatar,186,controlled_md,186,186,0,186,0,0,0,186
avatar,201,controlled_md,201,201,0,0,0,201,0,201
avatar,206,controlled_md,206,206,0,206,0,0,0,206
avatar,214,controlled_md,214,214,0,0,0,0,214,214
avatar,258,controlled_md,258,258,0,0,258,0,0,258
avatar,272,controlled_md,272,272,0,0,272,0,0,272
avatar,276,controlled_md,276,276,0,0,276,0,0,276
avatar,293,controlled_md,293,293,0,0,0,293,0,293
avatar,300,controlled_md,300,300,0,0,0,300,0,300
avatar,301,controlled_md,301,301,0,301,0,0,0,301
avatar,309,controlled_md,309,309,0,0,309,0,0,309
avatar,311,controlled_md,311,311,0,311,0,0,0,311
avatar,314,controlled_md,314,314,0,314,0,0,0,314
avatar,345,controlled_md,345,345,0,345,345,0,0,690
avatar,375,controlled_md,375,375,0,0,0,375,0,375
avatar,382,controlled_md,382,382,382,0,0,0,0,382
avatar,392,controlled_md,392,392,0,0,392,0,0,392
avatar,426,controlled_md,426,426,0,0,426,0,0,426
avatar,872,controlled_md,872,872,872,0,0,0,0,872
avatar,896,controlled_md,896,896,0,0,0,896,0,896
avatar,1037,controlled_md,1037,1037,1037,0,0,0,0,1037
avatar,1111,controlled_md,1111,1111,1111,0,0,0,0,1111
avatar,1119,controlled_md,1119,1119,1119,0,0,0,0,1119
avatar,1335,controlled_md,1335,1335,1335,0,0,0,0,1335
avatar,1478,controlled_md,1478,1478,1478,0,0,0,0,1478
avatar,1666,controlled_md,1666,1666,1666,0,0,0,0,1666
bithacks,1,controlled_md,1,1,0,0,0,1,2,3
bithacks,2,controlled_md,2,2,0,0,2,0,0,2
bithacks,3,controlled_md,3,3,0,3,9,0,6,18
bithacks,4,controlled_md,4,4,0,0,8,4,16,28
bithacks,5,controlled_md,5,5,0,5,5,0,0,10
bithacks,6,controlled_md,6,6,0,12,0,0,0,12
bithacks,7,controlled_md,7,7,0,14,0,0,0,14
bithacks,9,controlled_md,9,9,0,9,9,0,0,18
bithacks,10,controlled_md,10,10,10,0,0,10,0,20
bithacks,12,controlled_md,12,12,0,0,0,24,0,24
bithacks,13,controlled_md,13,13,0,0,0,13,0,13
bithacks,15,controlled_md,15,15,0,15,0,0,0,15
bithacks,22,controlled_md,22,22,22,0,0,0,0,22
bithacks,27,controlled_md,27,27,27,0,0,27,0,54
bithacks,31,controlled_md,31,31,31,0,0,0,0,31
bithacks,32,controlled_md,32,32,32,0,0,0,0,32
bithacks,41,controlled_md,41,41,41,0,0,0,0,41
bithacks,44,controlled_md,44,44,44,0,0,0,0,44
bithacks,47,controlled_md,47,47,47,0,0,0,0,47
codenet,36,controlled_md,36,36,0,0,0,0,216,216
codenet,47,controlled_md,47,47,0,0,0,0,47,47
codenet,99,controlled_md,99,99,0,0,0,0,99,99
codenet,100,controlled_md,100,100,0,0,0,100,0,100
codenet,156,controlled_md,156,156,0,156,0,0,0,156
codenet,167,controlled_md,167,167,0,167,0,0,0,167
codenet,180,controlled_md,180,180,0,0,180,0,0,180
codenet,237,controlled_md,237,237,0,237,0,0,0,237
codenet,239,controlled_md,239,239,0,0,0,239,0,239
codenet,272,controlled_md,272,272,0,272,0,0,0,272
codenet,280,controlled_md,280,280,0,280,0,0,0,280
codenet,288,controlled_md,288,288,0,0,0,288,0,288
codenet,291,controlled_md,291,291,291,0,0,0,0,291
codenet,303,controlled_md,303,303,0,303,0,0,0,303
codenet,316,controlled_md,316,316,0,0,316,0,0,316
codenet,323,controlled_md,323,323,0,323,0,0,0,323
codenet,330,controlled_md,330,330,0,330,0,0,0,330
codenet,354,controlled_md,354,354,0,0,354,0,0,354
codenet,392,controlled_md,392,392,0,0,392,0,0,392
codenet,400,controlled_md,400,400,0,0,400,0,0,400
codenet,403,controlled_md,403,403,0,0,403,0,0,403
codenet,479,controlled_md,479,479,0,0,479,0,0,479
codenet,495,controlled_md,495,495,0,0,495,0,0,495
codenet,518,controlled_md,518,518,0,0,0,518,0,518
codenet,630,controlled_md,630,630,0,0,0,630,0,630
codenet,634,controlled_md,634,634,0,0,0,634,0,634
codenet,758,controlled_md,758,758,0,0,0,758,0,758
codenet,855,controlled_md,855,855,855,0,0,0,0,855
codenet,1004,controlled_md,1004,1004,1004,0,0,0,0,1004
codenet,1073,controlled_md,1073,1073,1073,0,0,0,0,1073
codenet,1276,controlled_md,1276,1276,1276,0,0,0,0,1276
codenet,1393,controlled_md,1393,1393,1393,0,0,0,0,1393
codenet,1422,controlled_md,1422,1422,0,0,0,1422,0,1422
codenet,1572,controlled_md,1572,1572,1572,0,0,0,0,1572
codenet,1698,controlled_md,1698,1698,1698,0,0,0,0,1698
All,,,,,18416,4122,5456,6942,680,35616
