dataset,model_name,template,source_lang,target_lang,result_1,target_filename
codenet,llamafile_mistral,controlled_md,Go,C#,compile,135
codenet,llamafile_mistral,controlled_md,Go,C#,incorrect,27
codenet,llamafile_mistral,controlled_md,Go,C#,runtime,28
codenet,llamafile_mistral,controlled_md,Go,C#,success,6
codenet,llamafile_mistral,controlled_md,Go,C#,unicode error,4
codenet,llamafile_mistral,controlled_md,Go,Java,compile,132
codenet,llamafile_mistral,controlled_md,Go,Java,incorrect,15
codenet,llamafile_mistral,controlled_md,Go,Java,runtime,20
codenet,llamafile_mistral,controlled_md,Go,Java,success,29
codenet,llamafile_mistral,controlled_md,Go,Java,unicode error,4
codenet,llamafile_mistral,controlled_md,Go,Python,compile,57
codenet,llamafile_mistral,controlled_md,Go,Python,incorrect,25
codenet,llamafile_mistral,controlled_md,Go,Python,runtime,84
codenet,llamafile_mistral,controlled_md,Go,Python,success,30
codenet,llamafile_mistral,controlled_md,Go,Python,unicode error,4
codenet,llamafile_mistral,controlled_md,Go,Rust,compile,186
codenet,llamafile_mistral,controlled_md,Go,Rust,incorrect,6
codenet,llamafile_mistral,controlled_md,Go,Rust,runtime,2
codenet,llamafile_mistral,controlled_md,Go,Rust,success,2
codenet,llamafile_mistral,controlled_md,Go,Rust,unicode error,4
codenet,llamafile_mistral,controlled_md,Java,C#,compile,167
codenet,llamafile_mistral,controlled_md,Java,C#,incorrect,13
codenet,llamafile_mistral,controlled_md,Java,C#,runtime,15
codenet,llamafile_mistral,controlled_md,Java,C#,success,1
codenet,llamafile_mistral,controlled_md,Java,C#,unicode error,4
codenet,llamafile_mistral,controlled_md,Java,Go,compile,165
codenet,llamafile_mistral,controlled_md,Java,Go,incorrect,17
codenet,llamafile_mistral,controlled_md,Java,Go,runtime,4
codenet,llamafile_mistral,controlled_md,Java,Go,success,10
codenet,llamafile_mistral,controlled_md,Java,Go,unicode error,4
codenet,llamafile_mistral,controlled_md,Java,Python,compile,20
codenet,llamafile_mistral,controlled_md,Java,Python,incorrect,40
codenet,llamafile_mistral,controlled_md,Java,Python,runtime,94
codenet,llamafile_mistral,controlled_md,Java,Python,success,42
codenet,llamafile_mistral,controlled_md,Java,Python,unicode error,4
codenet,llamafile_mistral,controlled_md,Java,Rust,compile,174
codenet,llamafile_mistral,controlled_md,Java,Rust,incorrect,11
codenet,llamafile_mistral,controlled_md,Java,Rust,runtime,11
codenet,llamafile_mistral,controlled_md,Java,Rust,unicode error,4
codenet,llamafile_mistral,controlled_md,Python,C#,compile,93
codenet,llamafile_mistral,controlled_md,Python,C#,incorrect,41
codenet,llamafile_mistral,controlled_md,Python,C#,runtime,27
codenet,llamafile_mistral,controlled_md,Python,C#,success,38
codenet,llamafile_mistral,controlled_md,Python,C#,unicode error,1
codenet,llamafile_mistral,controlled_md,Python,Go,compile,171
codenet,llamafile_mistral,controlled_md,Python,Go,incorrect,14
codenet,llamafile_mistral,controlled_md,Python,Go,runtime,4
codenet,llamafile_mistral,controlled_md,Python,Go,success,10
codenet,llamafile_mistral,controlled_md,Python,Go,unicode error,1
codenet,llamafile_mistral,controlled_md,Python,Java,compile,85
codenet,llamafile_mistral,controlled_md,Python,Java,incorrect,24
codenet,llamafile_mistral,controlled_md,Python,Java,runtime,22
codenet,llamafile_mistral,controlled_md,Python,Java,success,68
codenet,llamafile_mistral,controlled_md,Python,Java,unicode error,1
codenet,llamafile_mistral,controlled_md,Python,Rust,compile,187
codenet,llamafile_mistral,controlled_md,Python,Rust,incorrect,4
codenet,llamafile_mistral,controlled_md,Python,Rust,runtime,5
codenet,llamafile_mistral,controlled_md,Python,Rust,success,3
codenet,llamafile_mistral,controlled_md,Python,Rust,unicode error,1
avatar,llamafile_mistral,controlled_md,Java,C#,compile,205
avatar,llamafile_mistral,controlled_md,Java,C#,incorrect,5
avatar,llamafile_mistral,controlled_md,Java,C#,runtime,25
avatar,llamafile_mistral,controlled_md,Java,C#,success,12
avatar,llamafile_mistral,controlled_md,Java,C#,unicode error,2
avatar,llamafile_mistral,controlled_md,Java,Go,compile,221
avatar,llamafile_mistral,controlled_md,Java,Go,incorrect,10
avatar,llamafile_mistral,controlled_md,Java,Go,runtime,7
avatar,llamafile_mistral,controlled_md,Java,Go,success,9
avatar,llamafile_mistral,controlled_md,Java,Go,unicode error,2
avatar,llamafile_mistral,controlled_md,Java,Python,compile,35
avatar,llamafile_mistral,controlled_md,Java,Python,incorrect,37
avatar,llamafile_mistral,controlled_md,Java,Python,runtime,149
avatar,llamafile_mistral,controlled_md,Java,Python,success,26
avatar,llamafile_mistral,controlled_md,Java,Python,unicode error,2
avatar,llamafile_mistral,controlled_md,Java,Rust,compile,240
avatar,llamafile_mistral,controlled_md,Java,Rust,incorrect,3
avatar,llamafile_mistral,controlled_md,Java,Rust,runtime,3
avatar,llamafile_mistral,controlled_md,Java,Rust,success,1
avatar,llamafile_mistral,controlled_md,Java,Rust,unicode error,2
avatar,llamafile_mistral,controlled_md,Python,C#,compile,157
avatar,llamafile_mistral,controlled_md,Python,C#,incorrect,42
avatar,llamafile_mistral,controlled_md,Python,C#,runtime,28
avatar,llamafile_mistral,controlled_md,Python,C#,success,22
avatar,llamafile_mistral,controlled_md,Python,C#,unicode error,1
avatar,llamafile_mistral,controlled_md,Python,Go,compile,237
avatar,llamafile_mistral,controlled_md,Python,Go,incorrect,8
avatar,llamafile_mistral,controlled_md,Python,Go,runtime,2
avatar,llamafile_mistral,controlled_md,Python,Go,success,2
avatar,llamafile_mistral,controlled_md,Python,Go,unicode error,1
avatar,llamafile_mistral,controlled_md,Python,Java,compile,141
avatar,llamafile_mistral,controlled_md,Python,Java,incorrect,47
avatar,llamafile_mistral,controlled_md,Python,Java,runtime,42
avatar,llamafile_mistral,controlled_md,Python,Java,success,19
avatar,llamafile_mistral,controlled_md,Python,Java,unicode error,1
avatar,llamafile_mistral,controlled_md,Python,Rust,compile,242
avatar,llamafile_mistral,controlled_md,Python,Rust,incorrect,5
avatar,llamafile_mistral,controlled_md,Python,Rust,runtime,2
avatar,llamafile_mistral,controlled_md,Python,Rust,unicode error,1
bithacks,llamafile_mistral,controlled_md,Python,C#,compile,8
bithacks,llamafile_mistral,controlled_md,Python,C#,incorrect,2
bithacks,llamafile_mistral,controlled_md,Python,C#,runtime,3
bithacks,llamafile_mistral,controlled_md,Python,C#,unicode error,1
bithacks,llamafile_mistral,controlled_md,Python,Go,compile,13
bithacks,llamafile_mistral,controlled_md,Python,Go,incorrect,1
bithacks,llamafile_mistral,controlled_md,Python,Java,compile,11
bithacks,llamafile_mistral,controlled_md,Python,Java,incorrect,1
bithacks,llamafile_mistral,controlled_md,Python,Java,success,1
bithacks,llamafile_mistral,controlled_md,Python,Java,unicode error,1
bithacks,llamafile_mistral,controlled_md,Python,Rust,compile,12
bithacks,llamafile_mistral,controlled_md,Python,Rust,incorrect,1
bithacks,llamafile_mistral,controlled_md,Python,Rust,unicode error,1
codenet,llamafile_mixtral,controlled_md,Go,C#,compile,117
codenet,llamafile_mixtral,controlled_md,Go,C#,incorrect,26
codenet,llamafile_mixtral,controlled_md,Go,C#,runtime,36
codenet,llamafile_mixtral,controlled_md,Go,C#,success,17
codenet,llamafile_mixtral,controlled_md,Go,C#,unicode error,4
codenet,llamafile_mixtral,controlled_md,Go,Java,compile,52
codenet,llamafile_mixtral,controlled_md,Go,Java,incorrect,23
codenet,llamafile_mixtral,controlled_md,Go,Java,runtime,31
codenet,llamafile_mixtral,controlled_md,Go,Java,success,90
codenet,llamafile_mixtral,controlled_md,Go,Java,unicode error,4
codenet,llamafile_mixtral,controlled_md,Go,Python,compile,60
codenet,llamafile_mixtral,controlled_md,Go,Python,incorrect,35
codenet,llamafile_mixtral,controlled_md,Go,Python,runtime,50
codenet,llamafile_mixtral,controlled_md,Go,Python,success,51
codenet,llamafile_mixtral,controlled_md,Go,Python,unicode error,4
codenet,llamafile_mixtral,controlled_md,Go,Rust,compile,141
codenet,llamafile_mixtral,controlled_md,Go,Rust,incorrect,22
codenet,llamafile_mixtral,controlled_md,Go,Rust,runtime,18
codenet,llamafile_mixtral,controlled_md,Go,Rust,success,15
codenet,llamafile_mixtral,controlled_md,Go,Rust,unicode error,4
codenet,llamafile_mixtral,controlled_md,Java,C#,compile,103
codenet,llamafile_mixtral,controlled_md,Java,C#,incorrect,37
codenet,llamafile_mixtral,controlled_md,Java,C#,runtime,41
codenet,llamafile_mixtral,controlled_md,Java,C#,success,15
codenet,llamafile_mixtral,controlled_md,Java,C#,unicode error,4
codenet,llamafile_mixtral,controlled_md,Java,Go,compile,134
codenet,llamafile_mixtral,controlled_md,Java,Go,incorrect,26
codenet,llamafile_mixtral,controlled_md,Java,Go,runtime,10
codenet,llamafile_mixtral,controlled_md,Java,Go,success,26
codenet,llamafile_mixtral,controlled_md,Java,Go,unicode error,4
codenet,llamafile_mixtral,controlled_md,Java,Python,compile,12
codenet,llamafile_mixtral,controlled_md,Java,Python,incorrect,28
codenet,llamafile_mixtral,controlled_md,Java,Python,runtime,87
codenet,llamafile_mixtral,controlled_md,Java,Python,success,69
codenet,llamafile_mixtral,controlled_md,Java,Python,unicode error,4
codenet,llamafile_mixtral,controlled_md,Java,Rust,compile,120
codenet,llamafile_mixtral,controlled_md,Java,Rust,incorrect,11
codenet,llamafile_mixtral,controlled_md,Java,Rust,runtime,32
codenet,llamafile_mixtral,controlled_md,Java,Rust,success,33
codenet,llamafile_mixtral,controlled_md,Java,Rust,unicode error,4
codenet,llamafile_mixtral,controlled_md,Python,C#,compile,30
codenet,llamafile_mixtral,controlled_md,Python,C#,incorrect,57
codenet,llamafile_mixtral,controlled_md,Python,C#,runtime,11
codenet,llamafile_mixtral,controlled_md,Python,C#,success,101
codenet,llamafile_mixtral,controlled_md,Python,C#,unicode error,1
codenet,llamafile_mixtral,controlled_md,Python,Go,compile,153
codenet,llamafile_mixtral,controlled_md,Python,Go,incorrect,7
codenet,llamafile_mixtral,controlled_md,Python,Go,runtime,10
codenet,llamafile_mixtral,controlled_md,Python,Go,success,29
codenet,llamafile_mixtral,controlled_md,Python,Go,unicode error,1
codenet,llamafile_mixtral,controlled_md,Python,Java,compile,35
codenet,llamafile_mixtral,controlled_md,Python,Java,incorrect,18
codenet,llamafile_mixtral,controlled_md,Python,Java,runtime,21
codenet,llamafile_mixtral,controlled_md,Python,Java,success,125
codenet,llamafile_mixtral,controlled_md,Python,Java,unicode error,1
codenet,llamafile_mixtral,controlled_md,Python,Rust,compile,116
codenet,llamafile_mixtral,controlled_md,Python,Rust,incorrect,13
codenet,llamafile_mixtral,controlled_md,Python,Rust,runtime,7
codenet,llamafile_mixtral,controlled_md,Python,Rust,success,63
codenet,llamafile_mixtral,controlled_md,Python,Rust,unicode error,1
avatar,llamafile_mixtral,controlled_md,Java,C#,compile,193
avatar,llamafile_mixtral,controlled_md,Java,C#,incorrect,12
avatar,llamafile_mixtral,controlled_md,Java,C#,runtime,22
avatar,llamafile_mixtral,controlled_md,Java,C#,success,20
avatar,llamafile_mixtral,controlled_md,Java,C#,unicode error,2
avatar,llamafile_mixtral,controlled_md,Java,Go,compile,179
avatar,llamafile_mixtral,controlled_md,Java,Go,incorrect,35
avatar,llamafile_mixtral,controlled_md,Java,Go,runtime,9
avatar,llamafile_mixtral,controlled_md,Java,Go,success,24
avatar,llamafile_mixtral,controlled_md,Java,Go,unicode error,2
avatar,llamafile_mixtral,controlled_md,Java,Python,compile,29
avatar,llamafile_mixtral,controlled_md,Java,Python,incorrect,60
avatar,llamafile_mixtral,controlled_md,Java,Python,runtime,101
avatar,llamafile_mixtral,controlled_md,Java,Python,success,57
avatar,llamafile_mixtral,controlled_md,Java,Python,unicode error,2
avatar,llamafile_mixtral,controlled_md,Java,Rust,compile,188
avatar,llamafile_mixtral,controlled_md,Java,Rust,incorrect,17
avatar,llamafile_mixtral,controlled_md,Java,Rust,runtime,31
avatar,llamafile_mixtral,controlled_md,Java,Rust,success,11
avatar,llamafile_mixtral,controlled_md,Java,Rust,unicode error,2
avatar,llamafile_mixtral,controlled_md,Python,C#,compile,67
avatar,llamafile_mixtral,controlled_md,Python,C#,incorrect,79
avatar,llamafile_mixtral,controlled_md,Python,C#,runtime,35
avatar,llamafile_mixtral,controlled_md,Python,C#,success,68
avatar,llamafile_mixtral,controlled_md,Python,C#,unicode error,1
avatar,llamafile_mixtral,controlled_md,Python,Go,compile,215
avatar,llamafile_mixtral,controlled_md,Python,Go,incorrect,14
avatar,llamafile_mixtral,controlled_md,Python,Go,runtime,9
avatar,llamafile_mixtral,controlled_md,Python,Go,success,11
avatar,llamafile_mixtral,controlled_md,Python,Go,unicode error,1
avatar,llamafile_mixtral,controlled_md,Python,Java,compile,63
avatar,llamafile_mixtral,controlled_md,Python,Java,incorrect,61
avatar,llamafile_mixtral,controlled_md,Python,Java,runtime,46
avatar,llamafile_mixtral,controlled_md,Python,Java,success,79
avatar,llamafile_mixtral,controlled_md,Python,Java,unicode error,1
avatar,llamafile_mixtral,controlled_md,Python,Rust,compile,177
avatar,llamafile_mixtral,controlled_md,Python,Rust,incorrect,23
avatar,llamafile_mixtral,controlled_md,Python,Rust,runtime,19
avatar,llamafile_mixtral,controlled_md,Python,Rust,success,30
avatar,llamafile_mixtral,controlled_md,Python,Rust,unicode error,1
bithacks,llamafile_mixtral,controlled_md,Python,C#,compile,3
bithacks,llamafile_mixtral,controlled_md,Python,C#,incorrect,7
bithacks,llamafile_mixtral,controlled_md,Python,C#,success,3
