dataset,model_name,template,source_lang,target_lang,compile,incorrect,runtime,success,All
avatar,codestral,controlled_md,Java,C#,12,7,96,107,222
avatar,codestral,controlled_md,Java,Go,83,34,11,94,222
avatar,codestral,controlled_md,Java,Python,0,24,50,148,222
avatar,codestral,controlled_md,Java,Rust,50,20,64,88,222
avatar,codestral,controlled_md,Python,C#,16,37,30,140,223
avatar,codestral,controlled_md,Python,Go,87,36,34,66,223
avatar,codestral,controlled_md,Python,Java,12,51,24,136,223
avatar,codestral,controlled_md,Python,Rust,47,31,40,105,223
avatar,dolphin-2.6-mistral,LIT,Java,C#,96,12,67,47,222
avatar,dolphin-2.6-mistral,LIT,Java,Go,184,28,2,8,222
avatar,dolphin-2.6-mistral,LIT,Java,Python,30,40,91,61,222
avatar,dolphin-2.6-mistral,LIT,Java,Rust,157,19,33,13,222
avatar,dolphin-2.6-mistral,LIT,Python,C#,82,53,31,57,223
avatar,dolphin-2.6-mistral,LIT,Python,Go,189,18,7,9,223
avatar,dolphin-2.6-mistral,LIT,Python,Java,94,34,46,49,223
avatar,dolphin-2.6-mistral,LIT,Python,Rust,190,15,10,8,223
avatar,dolphin-2.6-mistral,controlled,Java,C#,96,9,66,51,222
avatar,dolphin-2.6-mistral,controlled,Java,Go,178,28,5,11,222
avatar,dolphin-2.6-mistral,controlled,Java,Python,69,61,61,31,222
avatar,dolphin-2.6-mistral,controlled,Java,Rust,158,19,34,11,222
avatar,dolphin-2.6-mistral,controlled,Python,C#,56,49,41,77,223
avatar,dolphin-2.6-mistral,controlled,Python,Go,180,24,11,8,223
avatar,dolphin-2.6-mistral,controlled,Python,Java,51,68,37,67,223
avatar,dolphin-2.6-mistral,controlled,Python,Rust,162,15,21,25,223
avatar,dolphin-2.6-mistral,controlled_md,Java,C#,116,14,47,45,222
avatar,dolphin-2.6-mistral,controlled_md,Java,Go,168,32,7,15,222
avatar,dolphin-2.6-mistral,controlled_md,Java,Python,15,76,77,54,222
avatar,dolphin-2.6-mistral,controlled_md,Java,Rust,149,18,42,13,222
avatar,dolphin-2.6-mistral,controlled_md,Python,C#,59,59,36,69,223
avatar,dolphin-2.6-mistral,controlled_md,Python,Go,187,25,4,7,223
avatar,dolphin-2.6-mistral,controlled_md,Python,Java,49,61,41,72,223
avatar,dolphin-2.6-mistral,controlled_md,Python,Rust,168,12,22,21,223
avatar,dolphin-2.6-mistral,via_description,Java,C#,61,58,79,24,222
avatar,dolphin-2.6-mistral,via_description,Java,Go,159,37,16,10,222
avatar,dolphin-2.6-mistral,via_description,Java,Python,30,77,77,38,222
avatar,dolphin-2.6-mistral,via_description,Java,Rust,160,20,29,13,222
avatar,dolphin-2.6-mistral,via_description,Python,C#,64,83,63,13,223
avatar,dolphin-2.6-mistral,via_description,Python,Go,166,41,11,5,223
avatar,dolphin-2.6-mistral,via_description,Python,Java,61,82,44,36,223
avatar,dolphin-2.6-mistral,via_description,Python,Rust,158,23,31,11,223
avatar,dolphin-2.6-phi-2,controlled,Java,C#,193,12,16,1,222
avatar,dolphin-2.6-phi-2,controlled,Java,Go,218,4,0,0,222
avatar,dolphin-2.6-phi-2,controlled,Java,Python,46,62,96,18,222
avatar,dolphin-2.6-phi-2,controlled,Java,Rust,215,6,1,0,222
avatar,dolphin-2.6-phi-2,controlled,Python,C#,151,27,33,12,223
avatar,dolphin-2.6-phi-2,controlled,Python,Go,218,4,1,0,223
avatar,dolphin-2.6-phi-2,controlled,Python,Java,131,45,32,15,223
