dataset,model_name,template,source_lang,target_lang,result_1,target_filename
codenet,llamafile_mistral,controlled_md,Go,C#,compile,140
codenet,llamafile_mistral,controlled_md,Go,C#,incorrect,25
codenet,llamafile_mistral,controlled_md,Go,C#,runtime,26
codenet,llamafile_mistral,controlled_md,Go,C#,success,5
codenet,llamafile_mistral,controlled_md,Go,C#,unicode error,4
codenet,llamafile_mistral,controlled_md,Go,Java,compile,157
codenet,llamafile_mistral,controlled_md,Go,Java,incorrect,6
codenet,llamafile_mistral,controlled_md,Go,Java,runtime,14
codenet,llamafile_mistral,controlled_md,Go,Java,success,19
codenet,llamafile_mistral,controlled_md,Go,Java,unicode error,4
codenet,llamafile_mistral,controlled_md,Go,Python,compile,128
codenet,llamafile_mistral,controlled_md,Go,Python,incorrect,17
codenet,llamafile_mistral,controlled_md,Go,Python,runtime,42
codenet,llamafile_mistral,controlled_md,Go,Python,success,9
codenet,llamafile_mistral,controlled_md,Go,Python,unicode error,4
codenet,llamafile_mistral,controlled_md,Go,Rust,compile,188
codenet,llamafile_mistral,controlled_md,Go,Rust,incorrect,5
codenet,llamafile_mistral,controlled_md,Go,Rust,runtime,1
codenet,llamafile_mistral,controlled_md,Go,Rust,success,2
codenet,llamafile_mistral,controlled_md,Go,Rust,unicode error,4
codenet,llamafile_mistral,controlled_md,Java,C#,compile,170
codenet,llamafile_mistral,controlled_md,Java,C#,incorrect,12
codenet,llamafile_mistral,controlled_md,Java,C#,runtime,14
codenet,llamafile_mistral,controlled_md,Java,C#,unicode error,4
codenet,llamafile_mistral,controlled_md,Java,Go,compile,174
codenet,llamafile_mistral,controlled_md,Java,Go,incorrect,12
codenet,llamafile_mistral,controlled_md,Java,Go,runtime,2
codenet,llamafile_mistral,controlled_md,Java,Go,success,8
codenet,llamafile_mistral,controlled_md,Java,Go,unicode error,4
codenet,llamafile_mistral,controlled_md,Java,Python,compile,124
codenet,llamafile_mistral,controlled_md,Java,Python,incorrect,16
codenet,llamafile_mistral,controlled_md,Java,Python,runtime,42
codenet,llamafile_mistral,controlled_md,Java,Python,success,14
codenet,llamafile_mistral,controlled_md,Java,Python,unicode error,4
codenet,llamafile_mistral,controlled_md,Java,Rust,compile,180
codenet,llamafile_mistral,controlled_md,Java,Rust,incorrect,8
codenet,llamafile_mistral,controlled_md,Java,Rust,runtime,8
codenet,llamafile_mistral,controlled_md,Java,Rust,unicode error,4
codenet,llamafile_mistral,controlled_md,Python,C#,compile,103
codenet,llamafile_mistral,controlled_md,Python,C#,incorrect,37
codenet,llamafile_mistral,controlled_md,Python,C#,runtime,25
codenet,llamafile_mistral,controlled_md,Python,C#,success,34
codenet,llamafile_mistral,controlled_md,Python,C#,unicode error,1
codenet,llamafile_mistral,controlled_md,Python,Go,compile,179
codenet,llamafile_mistral,controlled_md,Python,Go,incorrect,9
codenet,llamafile_mistral,controlled_md,Python,Go,runtime,3
codenet,llamafile_mistral,controlled_md,Python,Go,success,8
codenet,llamafile_mistral,controlled_md,Python,Go,unicode error,1
codenet,llamafile_mistral,controlled_md,Python,Java,compile,150
codenet,llamafile_mistral,controlled_md,Python,Java,incorrect,9
codenet,llamafile_mistral,controlled_md,Python,Java,runtime,11
codenet,llamafile_mistral,controlled_md,Python,Java,success,29
codenet,llamafile_mistral,controlled_md,Python,Java,unicode error,1
codenet,llamafile_mistral,controlled_md,Python,Rust,compile,190
codenet,llamafile_mistral,controlled_md,Python,Rust,incorrect,3
