,source_filename,target_filename,dataset,source_lang,target_lang,model_name,template,result_1
0,s752993784.py,s752993784.cs,codenet,Python,C#,llamafile_mistral,controlled_md,compile
1,s199418121.py,s199418121.cs,codenet,Python,C#,llamafile_mistral,controlled_md,compile
2,s537584449.py,s537584449.cs,codenet,Python,C#,llamafile_mistral,controlled_md,compile
3,s043545989.py,s043545989.cs,codenet,Python,C#,llamafile_mistral,controlled_md,compile
4,s609392609.py,s609392609.cs,codenet,Python,C#,llamafile_mistral,controlled_md,compile
5,s310981504.py,s310981504.cs,codenet,Python,C#,llamafile_mistral,controlled_md,compile
6,s419623944.py,s419623944.cs,codenet,Python,C#,llamafile_mistral,controlled_md,compile
7,s546174362.py,s546174362.cs,codenet,Python,C#,llamafile_mistral,controlled_md,compile
8,s908812767.py,s908812767.cs,codenet,Python,C#,llamafile_mistral,controlled_md,compile
9,s251858505.py,s251858505.cs,codenet,Python,C#,llamafile_mistral,controlled_md,compile
10,s504709360.py,s504709360.cs,codenet,Python,C#,llamafile_mistral,controlled_md,compile
11,s785944322.py,s785944322.cs,codenet,Python,C#,llamafile_mistral,controlled_md,compile
12,s170274782.py,s170274782.cs,codenet,Python,C#,llamafile_mistral,controlled_md,compile
13,s662673721.py,s662673721.cs,codenet,Python,C#,llamafile_mistral,controlled_md,compile
14,s539244923.py,s539244923.cs,codenet,Python,C#,llamafile_mistral,controlled_md,compile
15,s790754864.py,s790754864.cs,codenet,Python,C#,llamafile_mistral,controlled_md,compile
16,s636719275.py,s636719275.cs,codenet,Python,C#,llamafile_mistral,controlled_md,compile
17,s240532461.py,s240532461.cs,codenet,Python,C#,llamafile_mistral,controlled_md,compile
18,s828550015.py,s828550015.cs,codenet,Python,C#,llamafile_mistral,controlled_md,compile
19,s225615697.py,s225615697.cs,codenet,Python,C#,llamafile_mistral,controlled_md,compile
20,s846046431.py,s846046431.cs,codenet,Python,C#,llamafile_mistral,controlled_md,compile
21,s462546732.py,s462546732.cs,codenet,Python,C#,llamafile_mistral,controlled_md,compile
22,s131946120.py,s131946120.cs,codenet,Python,C#,llamafile_mistral,controlled_md,compile
23,s016605598.py,s016605598.cs,codenet,Python,C#,llamafile_mistral,controlled_md,compile
24,s441028271.py,s441028271.cs,codenet,Python,C#,llamafile_mistral,controlled_md,compile
25,s269975433.py,s269975433.cs,codenet,Python,C#,llamafile_mistral,controlled_md,compile
26,s949655009.py,s949655009.cs,codenet,Python,C#,llamafile_mistral,controlled_md,compile
27,s316832655.py,s316832655.cs,codenet,Python,C#,llamafile_mistral,controlled_md,compile
28,s103029464.py,s103029464.cs,codenet,Python,C#,llamafile_mistral,controlled_md,compile
29,s759547301.py,s759547301.cs,codenet,Python,C#,llamafile_mistral,controlled_md,compile
30,s961772658.py,s961772658.cs,codenet,Python,C#,llamafile_mistral,controlled_md,compile
31,s018260659.py,s018260659.cs,codenet,Python,C#,llamafile_mistral,controlled_md,compile
32,s826716211.py,s826716211.cs,codenet,Python,C#,llamafile_mistral,controlled_md,compile
33,s353603279.py,s353603279.cs,codenet,Python,C#,llamafile_mistral,controlled_md,compile
34,s663509070.py,s663509070.cs,codenet,Python,C#,llamafile_mistral,controlled_md,compile
35,s000375264.py,s000375264.cs,codenet,Python,C#,llamafile_mistral,controlled_md,compile
36,s522872163.py,s522872163.cs,codenet,Python,C#,llamafile_mistral,controlled_md,compile
37,s997947249.py,s997947249.cs,codenet,Python,C#,llamafile_mistral,controlled_md,compile
38,s451465602.py,s451465602.cs,codenet,Python,C#,llamafile_mistral,controlled_md,compile
39,s760938927.py,s760938927.cs,codenet,Python,C#,llamafile_mistral,controlled_md,compile
40,s621701371.py,s621701371.cs,codenet,Python,C#,llamafile_mistral,controlled_md,compile
41,s875904659.py,s875904659.cs,codenet,Python,C#,llamafile_mistral,controlled_md,compile
42,s706119740.py,s706119740.cs,codenet,Python,C#,llamafile_mistral,controlled_md,compile
43,s636592395.py,s636592395.cs,codenet,Python,C#,llamafile_mistral,controlled_md,compile
44,s137613418.py,s137613418.cs,codenet,Python,C#,llamafile_mistral,controlled_md,compile
45,s028530838.py,s028530838.cs,codenet,Python,C#,llamafile_mistral,controlled_md,compile
46,s273727373.py,s273727373.cs,codenet,Python,C#,llamafile_mistral,controlled_md,compile
47,s404600540.py,s404600540.cs,codenet,Python,C#,llamafile_mistral,controlled_md,compile
48,s922746568.py,s922746568.cs,codenet,Python,C#,llamafile_mistral,controlled_md,compile
49,s267172486.py,s267172486.cs,codenet,Python,C#,llamafile_mistral,controlled_md,compile
50,s616346400.py,s616346400.cs,codenet,Python,C#,llamafile_mistral,controlled_md,compile
51,s430322735.py,s430322735.cs,codenet,Python,C#,llamafile_mistral,controlled_md,compile
52,s761121328.py,s761121328.cs,codenet,Python,C#,llamafile_mistral,controlled_md,compile
53,s031917494.py,s031917494.cs,codenet,Python,C#,llamafile_mistral,controlled_md,compile
54,s952264435.py,s952264435.cs,codenet,Python,C#,llamafile_mistral,controlled_md,compile
55,s986062252.py,s986062252.cs,codenet,Python,C#,llamafile_mistral,controlled_md,compile
56,s923405856.py,s923405856.cs,codenet,Python,C#,llamafile_mistral,controlled_md,compile
