,source_filename,target_filename,dataset,source_lang,target_lang,model_name,template,result_1
0,s752993784.py,s752993784.rs,codenet,Python,Rust,llamafile_mistral,controlled_md,compile
1,s199418121.py,s199418121.rs,codenet,Python,Rust,llamafile_mistral,controlled_md,compile
2,s537584449.py,s537584449.rs,codenet,Python,Rust,llamafile_mistral,controlled_md,compile
3,s043545989.py,s043545989.rs,codenet,Python,Rust,llamafile_mistral,controlled_md,compile
4,s609392609.py,s609392609.rs,codenet,Python,Rust,llamafile_mistral,controlled_md,compile
5,s310981504.py,s310981504.rs,codenet,Python,Rust,llamafile_mistral,controlled_md,compile
6,s419623944.py,s419623944.rs,codenet,Python,Rust,llamafile_mistral,controlled_md,runtime
7,s546174362.py,s546174362.rs,codenet,Python,Rust,llamafile_mistral,controlled_md,compile
8,s908812767.py,s908812767.rs,codenet,Python,Rust,llamafile_mistral,controlled_md,incorrect
9,s251858505.py,s251858505.rs,codenet,Python,Rust,llamafile_mistral,controlled_md,compile
10,s504709360.py,s504709360.rs,codenet,Python,Rust,llamafile_mistral,controlled_md,compile
11,s785944322.py,s785944322.rs,codenet,Python,Rust,llamafile_mistral,controlled_md,compile
12,s170274782.py,s170274782.rs,codenet,Python,Rust,llamafile_mistral,controlled_md,compile
13,s662673721.py,s662673721.rs,codenet,Python,Rust,llamafile_mistral,controlled_md,compile
14,s539244923.py,s539244923.rs,codenet,Python,Rust,llamafile_mistral,controlled_md,success
15,s790754864.py,s790754864.rs,codenet,Python,Rust,llamafile_mistral,controlled_md,compile
16,s636719275.py,s636719275.rs,codenet,Python,Rust,llamafile_mistral,controlled_md,compile
17,s240532461.py,s240532461.rs,codenet,Python,Rust,llamafile_mistral,controlled_md,compile
18,s828550015.py,s828550015.rs,codenet,Python,Rust,llamafile_mistral,controlled_md,compile
19,s225615697.py,s225615697.rs,codenet,Python,Rust,llamafile_mistral,controlled_md,compile
20,s846046431.py,s846046431.rs,codenet,Python,Rust,llamafile_mistral,controlled_md,compile
