,source_filename,target_filename,dataset,source_lang,target_lang,model_name,template,result_1
0,s780275612.java,s780275612.cs,codenet,Java,C#,llamafile_mistral,controlled_md,incorrect
1,s175590171.java,s175590171.cs,codenet,Java,C#,llamafile_mistral,controlled_md,compile
2,s500433274.java,s500433274.cs,codenet,Java,C#,llamafile_mistral,controlled_md,compile
3,s314813282.java,s314813282.cs,codenet,Java,C#,llamafile_mistral,controlled_md,compile
4,s173032907.java,s173032907.cs,codenet,Java,C#,llamafile_mistral,controlled_md,runtime
5,s898738430.java,s898738430.cs,codenet,Java,C#,llamafile_mistral,controlled_md,compile
6,s527301188.java,s527301188.cs,codenet,Java,C#,llamafile_mistral,controlled_md,incorrect
7,s356471394.java,s356471394.cs,codenet,Java,C#,llamafile_mistral,controlled_md,compile
8,s275359315.java,s275359315.cs,codenet,Java,C#,llamafile_mistral,controlled_md,incorrect
9,s640163137.java,s640163137.cs,codenet,Java,C#,llamafile_mistral,controlled_md,compile
10,s077706488.java,s077706488.cs,codenet,Java,C#,llamafile_mistral,controlled_md,compile
11,s476581255.java,s476581255.cs,codenet,Java,C#,llamafile_mistral,controlled_md,runtime
12,s490798303.java,s490798303.cs,codenet,Java,C#,llamafile_mistral,controlled_md,compile
13,s307170605.java,s307170605.cs,codenet,Java,C#,llamafile_mistral,controlled_md,compile
14,s100570405.java,s100570405.cs,codenet,Java,C#,llamafile_mistral,controlled_md,compile
15,s399184958.java,s399184958.cs,codenet,Java,C#,llamafile_mistral,controlled_md,compile
16,s888667117.java,s888667117.cs,codenet,Java,C#,llamafile_mistral,controlled_md,compile
17,s684030429.java,s684030429.cs,codenet,Java,C#,llamafile_mistral,controlled_md,compile
18,s799002881.java,s799002881.cs,codenet,Java,C#,llamafile_mistral,controlled_md,runtime
19,s514557145.java,s514557145.cs,codenet,Java,C#,llamafile_mistral,controlled_md,compile
20,s629237879.java,s629237879.cs,codenet,Java,C#,llamafile_mistral,controlled_md,compile
21,s749703010.java,s749703010.cs,codenet,Java,C#,llamafile_mistral,controlled_md,compile
22,s301480578.java,s301480578.cs,codenet,Java,C#,llamafile_mistral,controlled_md,compile
23,s196249385.java,s196249385.cs,codenet,Java,C#,llamafile_mistral,controlled_md,compile
24,s918182055.java,s918182055.cs,codenet,Java,C#,llamafile_mistral,controlled_md,compile
25,s192812966.java,s192812966.cs,codenet,Java,C#,llamafile_mistral,controlled_md,compile
26,s561914763.java,s561914763.cs,codenet,Java,C#,llamafile_mistral,controlled_md,compile
27,s442273167.java,s442273167.cs,codenet,Java,C#,llamafile_mistral,controlled_md,compile
28,s440824480.java,s440824480.cs,codenet,Java,C#,llamafile_mistral,controlled_md,compile
29,s481865042.java,s481865042.cs,codenet,Java,C#,llamafile_mistral,controlled_md,compile
30,s443066739.java,s443066739.cs,codenet,Java,C#,llamafile_mistral,controlled_md,compile
31,s960387817.java,s960387817.cs,codenet,Java,C#,llamafile_mistral,controlled_md,unicode error
32,s832608243.java,s832608243.cs,codenet,Java,C#,llamafile_mistral,controlled_md,compile
33,s336166208.java,s336166208.cs,codenet,Java,C#,llamafile_mistral,controlled_md,compile
34,s416486483.java,s416486483.cs,codenet,Java,C#,llamafile_mistral,controlled_md,compile
35,s821112618.java,s821112618.cs,codenet,Java,C#,llamafile_mistral,controlled_md,incorrect
36,s452855095.java,s452855095.cs,codenet,Java,C#,llamafile_mistral,controlled_md,compile
37,s916993080.java,s916993080.cs,codenet,Java,C#,llamafile_mistral,controlled_md,compile
38,s577060895.java,s577060895.cs,codenet,Java,C#,llamafile_mistral,controlled_md,incorrect
39,s681118763.java,s681118763.cs,codenet,Java,C#,llamafile_mistral,controlled_md,compile
40,s321983475.java,s321983475.cs,codenet,Java,C#,llamafile_mistral,controlled_md,compile
41,s933313035.java,s933313035.cs,codenet,Java,C#,llamafile_mistral,controlled_md,compile
42,s257593977.java,s257593977.cs,codenet,Java,C#,llamafile_mistral,controlled_md,compile
43,s081988820.java,s081988820.cs,codenet,Java,C#,llamafile_mistral,controlled_md,unicode error
44,s063482767.java,s063482767.cs,codenet,Java,C#,llamafile_mistral,controlled_md,compile
45,s321216487.java,s321216487.cs,codenet,Java,C#,llamafile_mistral,controlled_md,compile
46,s125837071.java,s125837071.cs,codenet,Java,C#,llamafile_mistral,controlled_md,compile
47,s937747608.java,s937747608.cs,codenet,Java,C#,llamafile_mistral,controlled_md,compile
48,s221078931.java,s221078931.cs,codenet,Java,C#,llamafile_mistral,controlled_md,compile
49,s847387793.java,s847387793.cs,codenet,Java,C#,llamafile_mistral,controlled_md,compile
50,s962361667.java,s962361667.cs,codenet,Java,C#,llamafile_mistral,controlled_md,compile
51,s432314829.java,s432314829.cs,codenet,Java,C#,llamafile_mistral,controlled_md,runtime
52,s505375619.java,s505375619.cs,codenet,Java,C#,llamafile_mistral,controlled_md,compile
53,s000087391.java,s000087391.cs,codenet,Java,C#,llamafile_mistral,controlled_md,incorrect
54,s380356166.java,s380356166.cs,codenet,Java,C#,llamafile_mistral,controlled_md,compile
55,s682242794.java,s682242794.cs,codenet,Java,C#,llamafile_mistral,controlled_md,compile
56,s936984238.java,s936984238.cs,codenet,Java,C#,llamafile_mistral,controlled_md,compile
57,s650785519.java,s650785519.cs,codenet,Java,C#,llamafile_mistral,controlled_md,incorrect
58,s851323333.java,s851323333.cs,codenet,Java,C#,llamafile_mistral,controlled_md,compile
59,s606985261.java,s606985261.cs,codenet,Java,C#,llamafile_mistral,controlled_md,runtime
60,s295587559.java,s295587559.cs,codenet,Java,C#,llamafile_mistral,controlled_md,compile
61,s720527488.java,s720527488.cs,codenet,Java,C#,llamafile_mistral,controlled_md,compile
62,s022285498.java,s022285498.cs,codenet,Java,C#,llamafile_mistral,controlled_md,compile
63,s162740530.java,s162740530.cs,codenet,Java,C#,llamafile_mistral,controlled_md,compile
64,s863488345.java,s863488345.cs,codenet,Java,C#,llamafile_mistral,controlled_md,compile
65,s853705214.java,s853705214.cs,codenet,Java,C#,llamafile_mistral,controlled_md,compile
66,s545439898.java,s545439898.cs,codenet,Java,C#,llamafile_mistral,controlled_md,compile
67,s059841225.java,s059841225.cs,codenet,Java,C#,llamafile_mistral,controlled_md,compile
68,s318252319.java,s318252319.cs,codenet,Java,C#,llamafile_mistral,controlled_md,compile
69,s773621585.java,s773621585.cs,codenet,Java,C#,llamafile_mistral,controlled_md,compile
70,s609591310.java,s609591310.cs,codenet,Java,C#,llamafile_mistral,controlled_md,compile
71,s283652523.java,s283652523.cs,codenet,Java,C#,llamafile_mistral,controlled_md,compile
72,s393796709.java,s393796709.cs,codenet,Java,C#,llamafile_mistral,controlled_md,compile
73,s998094687.java,s998094687.cs,codenet,Java,C#,llamafile_mistral,controlled_md,compile
74,s409580149.java,s409580149.cs,codenet,Java,C#,llamafile_mistral,controlled_md,unicode error
75,s656827329.java,s656827329.cs,codenet,Java,C#,llamafile_mistral,controlled_md,compile
76,s965025950.java,s965025950.cs,codenet,Java,C#,llamafile_mistral,controlled_md,compile
77,s214067324.java,s214067324.cs,codenet,Java,C#,llamafile_mistral,controlled_md,compile
78,s685734377.java,s685734377.cs,codenet,Java,C#,llamafile_mistral,controlled_md,compile
79,s989561778.java,s989561778.cs,codenet,Java,C#,llamafile_mistral,controlled_md,compile
80,s151517960.java,s151517960.cs,codenet,Java,C#,llamafile_mistral,controlled_md,compile
81,s466963472.java,s466963472.cs,codenet,Java,C#,llamafile_mistral,controlled_md,compile
82,s393629232.java,s393629232.cs,codenet,Java,C#,llamafile_mistral,controlled_md,runtime
83,s016010007.java,s016010007.cs,codenet,Java,C#,llamafile_mistral,controlled_md,compile
84,s196451707.java,s196451707.cs,codenet,Java,C#,llamafile_mistral,controlled_md,runtime
85,s897176066.java,s897176066.cs,codenet,Java,C#,llamafile_mistral,controlled_md,compile
86,s648025110.java,s648025110.cs,codenet,Java,C#,llamafile_mistral,controlled_md,compile
87,s682993858.java,s682993858.cs,codenet,Java,C#,llamafile_mistral,controlled_md,incorrect
88,s332475184.java,s332475184.cs,codenet,Java,C#,llamafile_mistral,controlled_md,compile
89,s280174843.java,s280174843.cs,codenet,Java,C#,llamafile_mistral,controlled_md,compile
90,s584135649.java,s584135649.cs,codenet,Java,C#,llamafile_mistral,controlled_md,compile
91,s379215956.java,s379215956.cs,codenet,Java,C#,llamafile_mistral,controlled_md,compile
92,s580342216.java,s580342216.cs,codenet,Java,C#,llamafile_mistral,controlled_md,compile
93,s126744620.java,s126744620.cs,codenet,Java,C#,llamafile_mistral,controlled_md,compile
94,s450226252.java,s450226252.cs,codenet,Java,C#,llamafile_mistral,controlled_md,incorrect
95,s824230885.java,s824230885.cs,codenet,Java,C#,llamafile_mistral,controlled_md,compile
96,s584572995.java,s584572995.cs,codenet,Java,C#,llamafile_mistral,controlled_md,compile
97,s125881159.java,s125881159.cs,codenet,Java,C#,llamafile_mistral,controlled_md,compile
98,s725559666.java,s725559666.cs,codenet,Java,C#,llamafile_mistral,controlled_md,compile
99,s733150445.java,s733150445.cs,codenet,Java,C#,llamafile_mistral,controlled_md,compile
100,s387083574.java,s387083574.cs,codenet,Java,C#,llamafile_mistral,controlled_md,compile
101,s601569023.java,s601569023.cs,codenet,Java,C#,llamafile_mistral,controlled_md,compile
102,s449886393.java,s449886393.cs,codenet,Java,C#,llamafile_mistral,controlled_md,compile
103,s513933260.java,s513933260.cs,codenet,Java,C#,llamafile_mistral,controlled_md,compile
104,s325080396.java,s325080396.cs,codenet,Java,C#,llamafile_mistral,controlled_md,compile
105,s041542819.java,s041542819.cs,codenet,Java,C#,llamafile_mistral,controlled_md,compile
106,s902370101.java,s902370101.cs,codenet,Java,C#,llamafile_mistral,controlled_md,runtime
107,s573993837.java,s573993837.cs,codenet,Java,C#,llamafile_mistral,controlled_md,compile
108,s511234019.java,s511234019.cs,codenet,Java,C#,llamafile_mistral,controlled_md,runtime
109,s494783955.java,s494783955.cs,codenet,Java,C#,llamafile_mistral,controlled_md,compile
110,s059916837.java,s059916837.cs,codenet,Java,C#,llamafile_mistral,controlled_md,compile
111,s458826999.java,s458826999.cs,codenet,Java,C#,llamafile_mistral,controlled_md,compile
112,s780604068.java,s780604068.cs,codenet,Java,C#,llamafile_mistral,controlled_md,compile
113,s685537842.java,s685537842.cs,codenet,Java,C#,llamafile_mistral,controlled_md,compile
114,s319823779.java,s319823779.cs,codenet,Java,C#,llamafile_mistral,controlled_md,compile
115,s320655609.java,s320655609.cs,codenet,Java,C#,llamafile_mistral,controlled_md,compile
116,s047401835.java,s047401835.cs,codenet,Java,C#,llamafile_mistral,controlled_md,compile
117,s831281137.java,s831281137.cs,codenet,Java,C#,llamafile_mistral,controlled_md,compile
118,s745776078.java,s745776078.cs,codenet,Java,C#,llamafile_mistral,controlled_md,compile
119,s826491904.java,s826491904.cs,codenet,Java,C#,llamafile_mistral,controlled_md,compile
120,s893190600.java,s893190600.cs,codenet,Java,C#,llamafile_mistral,controlled_md,compile
121,s739337307.java,s739337307.cs,codenet,Java,C#,llamafile_mistral,controlled_md,compile
122,s596918302.java,s596918302.cs,codenet,Java,C#,llamafile_mistral,controlled_md,compile
123,s701317277.java,s701317277.cs,codenet,Java,C#,llamafile_mistral,controlled_md,compile
124,s125278297.java,s125278297.cs,codenet,Java,C#,llamafile_mistral,controlled_md,compile
125,s670290220.java,s670290220.cs,codenet,Java,C#,llamafile_mistral,controlled_md,compile
126,s552480860.java,s552480860.cs,codenet,Java,C#,llamafile_mistral,controlled_md,compile
127,s504715611.java,s504715611.cs,codenet,Java,C#,llamafile_mistral,controlled_md,compile
128,s987117545.java,s987117545.cs,codenet,Java,C#,llamafile_mistral,controlled_md,compile
