Dataset,Model,Prompt,success,compile,runtime,incorrect,All
All,codestral,controlled_md,92,9,88,6,195
All,dolphin-2.6-mistral,controlled,24,65,65,41,195
All,dolphin-2.6-mistral,controlled_md,34,65,51,45,195
All,dolphin-2.6-mistral,via_description,25,43,56,71,195
All,dolphin-2.6-phi-2,controlled,7,132,32,24,195
All,dolphin-2.6-phi-2,controlled_md,14,132,28,21,195
All,dolphin-2.7-mixtral,controlled_md,21,73,63,38,195
All,llama3-8b,controlled_md,6,149,33,7,195
All,mistral,controlled,14,139,23,19,195
All,mistral,controlled_md,7,132,28,28,195
All,mistral,via_description,7,89,52,47,195
All,mixtral,controlled,25,121,27,22,195
All,mixtral,controlled_md,18,115,36,26,195
All,phi3,controlled_md,2,110,26,57,195
codenet,codestral,controlled_md,92,9,88,6,195
codenet,dolphin-2.6-mistral,controlled,24,65,65,41,195
codenet,dolphin-2.6-mistral,controlled_md,34,65,51,45,195
codenet,dolphin-2.6-mistral,via_description,25,43,56,71,195
codenet,dolphin-2.6-phi-2,controlled,7,132,32,24,195
codenet,dolphin-2.6-phi-2,controlled_md,14,132,28,21,195
codenet,dolphin-2.7-mixtral,controlled_md,21,73,63,38,195
codenet,llama3-8b,controlled_md,6,149,33,7,195
codenet,mistral,controlled,14,139,23,19,195
codenet,mistral,controlled_md,7,132,28,28,195
codenet,mistral,via_description,7,89,52,47,195
codenet,mixtral,controlled,25,121,27,22,195
codenet,mixtral,controlled_md,18,115,36,26,195
codenet,phi3,controlled_md,2,110,26,57,195
