Dataset,Model,Prompt,success,compile,runtime,incorrect,All
All,codestral,controlled_md,169,5,7,14,195
All,dolphin-2.6-mistral,controlled,87,56,36,16,195
All,dolphin-2.6-mistral,controlled_md,108,40,24,23,195
All,dolphin-2.6-mistral,via_description,47,54,29,65,195
All,dolphin-2.6-phi-2,controlled,19,140,23,12,194
All,dolphin-2.6-phi-2,controlled_md,23,113,26,33,195
All,dolphin-2.7-mixtral,controlled_md,113,31,30,21,195
All,llama3-8b,controlled_md,71,74,37,13,195
All,mistral,controlled,15,108,35,37,195
All,mistral,controlled_md,30,129,20,16,195
All,mistral,via_description,31,72,27,65,195
All,mixtral,controlled,103,54,19,19,195
All,mixtral,controlled_md,93,47,32,23,195
All,phi3,controlled_md,23,109,48,15,195
codenet,codestral,controlled_md,169,5,7,14,195
codenet,dolphin-2.6-mistral,controlled,87,56,36,16,195
codenet,dolphin-2.6-mistral,controlled_md,108,40,24,23,195
codenet,dolphin-2.6-mistral,via_description,47,54,29,65,195
codenet,dolphin-2.6-phi-2,controlled,19,140,23,12,194
codenet,dolphin-2.6-phi-2,controlled_md,23,113,26,33,195
codenet,dolphin-2.7-mixtral,controlled_md,113,31,30,21,195
codenet,llama3-8b,controlled_md,71,74,37,13,195
codenet,mistral,controlled,15,108,35,37,195
codenet,mistral,controlled_md,30,129,20,16,195
codenet,mistral,via_description,31,72,27,65,195
codenet,mixtral,controlled,103,54,19,19,195
codenet,mixtral,controlled_md,93,47,32,23,195
codenet,phi3,controlled_md,23,109,48,15,195
