Dataset,Model,Prompt,success,compile,runtime,incorrect,All
All,codestral,controlled_md,118,0,69,8,195
All,dolphin-2.6-mistral,controlled,70,10,78,37,195
All,dolphin-2.6-mistral,controlled_md,76,18,69,32,195
All,dolphin-2.6-mistral,via_description,50,19,79,47,195
All,dolphin-2.6-phi-2,controlled,55,56,52,32,195
All,dolphin-2.6-phi-2,controlled_md,22,47,33,93,195
All,dolphin-2.7-mixtral,controlled_md,80,24,73,18,195
All,llama3-8b,controlled_md,75,11,92,17,195
All,mistral,controlled,43,47,71,34,195
All,mistral,controlled_md,32,54,83,26,195
All,mistral,via_description,29,24,76,66,195
All,mixtral,controlled,54,73,37,31,195
All,mixtral,controlled_md,52,59,51,33,195
All,phi3,controlled_md,54,19,96,26,195
codenet,codestral,controlled_md,118,0,69,8,195
codenet,dolphin-2.6-mistral,controlled,70,10,78,37,195
codenet,dolphin-2.6-mistral,controlled_md,76,18,69,32,195
codenet,dolphin-2.6-mistral,via_description,50,19,79,47,195
codenet,dolphin-2.6-phi-2,controlled,55,56,52,32,195
codenet,dolphin-2.6-phi-2,controlled_md,22,47,33,93,195
codenet,dolphin-2.7-mixtral,controlled_md,80,24,73,18,195
codenet,llama3-8b,controlled_md,75,11,92,17,195
codenet,mistral,controlled,43,47,71,34,195
codenet,mistral,controlled_md,32,54,83,26,195
codenet,mistral,via_description,29,24,76,66,195
codenet,mixtral,controlled,54,73,37,31,195
codenet,mixtral,controlled_md,52,59,51,33,195
codenet,phi3,controlled_md,54,19,96,26,195
