Dataset,Model,Prompt,success,compile,runtime,incorrect,All
All,codestral,controlled_md,97,40,52,6,195
All,dolphin-2.6-mistral,controlled,28,142,10,15,195
All,dolphin-2.6-mistral,controlled_md,24,143,16,12,195
All,dolphin-2.6-mistral,via_description,31,117,36,11,195
All,dolphin-2.6-phi-2,controlled,1,184,0,10,195
All,dolphin-2.6-phi-2,controlled_md,1,182,1,11,195
All,dolphin-2.7-mixtral,controlled_md,31,118,38,8,195
All,llama3-8b,controlled_md,17,137,28,13,195
All,mistral,controlled,1,188,1,5,195
All,mistral,controlled_md,3,184,2,6,195
All,mistral,via_description,3,174,10,8,195
All,mixtral,controlled,13,156,13,13,195
All,mixtral,controlled_md,16,139,18,22,195
All,phi3,controlled_md,1,191,0,3,195
codenet,codestral,controlled_md,97,40,52,6,195
codenet,dolphin-2.6-mistral,controlled,28,142,10,15,195
codenet,dolphin-2.6-mistral,controlled_md,24,143,16,12,195
codenet,dolphin-2.6-mistral,via_description,31,117,36,11,195
codenet,dolphin-2.6-phi-2,controlled,1,184,0,10,195
codenet,dolphin-2.6-phi-2,controlled_md,1,182,1,11,195
codenet,dolphin-2.7-mixtral,controlled_md,31,118,38,8,195
codenet,llama3-8b,controlled_md,17,137,28,13,195
codenet,mistral,controlled,1,188,1,5,195
codenet,mistral,controlled_md,3,184,2,6,195
codenet,mistral,via_description,3,174,10,8,195
codenet,mixtral,controlled,13,156,13,13,195
codenet,mixtral,controlled_md,16,139,18,22,195
codenet,phi3,controlled_md,1,191,0,3,195
