Dataset,Model,Prompt,success,compile,runtime,incorrect,All
All,codestral,controlled_md,254,1,125,38,418
All,dolphin-2.6-mistral,controlled,75,120,124,99,418
All,dolphin-2.6-mistral,controlled_md,102,29,160,127,418
All,dolphin-2.6-mistral,via_description,70,58,155,135,418
All,dolphin-2.6-phi-2,controlled,60,90,160,108,418
All,dolphin-2.6-phi-2,controlled_md,20,152,78,168,418
All,dolphin-2.7-mixtral,controlled_md,135,15,188,80,418
All,llama3-8b,controlled_md,118,16,226,58,418
All,mistral,controlled,58,47,219,94,418
All,mistral,controlled_md,69,47,228,74,418
All,mistral,via_description,33,45,200,140,418
All,mixtral,controlled,92,144,137,45,418
All,mixtral,controlled_md,128,35,175,80,418
All,phi3,controlled_md,96,16,243,63,418
avatar,codestral,controlled_md,148,0,50,24,222
avatar,dolphin-2.6-mistral,controlled,31,69,61,61,222
avatar,dolphin-2.6-mistral,controlled_md,54,15,77,76,222
avatar,dolphin-2.6-mistral,via_description,38,30,77,77,222
avatar,dolphin-2.6-phi-2,controlled,18,46,96,62,222
avatar,dolphin-2.6-phi-2,controlled_md,4,99,46,73,222
avatar,dolphin-2.7-mixtral,controlled_md,64,8,97,53,222
avatar,llama3-8b,controlled_md,59,7,128,28,222
avatar,mistral,controlled,25,32,117,48,222
avatar,mistral,controlled_md,26,27,135,34,222
avatar,mistral,via_description,16,25,107,74,222
avatar,mixtral,controlled,40,89,67,26,222
avatar,mixtral,controlled_md,58,23,88,53,222
avatar,phi3,controlled_md,35,5,145,37,222
codenet,codestral,controlled_md,106,1,75,14,196
codenet,dolphin-2.6-mistral,controlled,44,51,63,38,196
codenet,dolphin-2.6-mistral,controlled_md,48,14,83,51,196
codenet,dolphin-2.6-mistral,via_description,32,28,78,58,196
codenet,dolphin-2.6-phi-2,controlled,42,44,64,46,196
codenet,dolphin-2.6-phi-2,controlled_md,16,53,32,95,196
codenet,dolphin-2.7-mixtral,controlled_md,71,7,91,27,196
codenet,llama3-8b,controlled_md,59,9,98,30,196
codenet,mistral,controlled,33,15,102,46,196
codenet,mistral,controlled_md,43,20,93,40,196
codenet,mistral,via_description,17,20,93,66,196
codenet,mixtral,controlled,52,55,70,19,196
codenet,mixtral,controlled_md,70,12,87,27,196
codenet,phi3,controlled_md,61,11,98,26,196
