Dataset,Model,Prompt,success,compile,runtime,incorrect,All
All,codestral,controlled_md,317,18,36,65,436
All,dolphin-2.6-mistral,controlled,194,79,69,94,436
All,dolphin-2.6-mistral,controlled_md,196,85,71,84,436
All,dolphin-2.6-mistral,via_description,98,109,68,161,436
All,dolphin-2.6-phi-2,controlled,67,234,58,77,436
All,dolphin-2.6-phi-2,controlled_md,45,256,65,70,436
All,dolphin-2.7-mixtral,controlled_md,230,73,65,68,436
All,llama3-8b,controlled_md,160,125,77,72,434
All,mistral,controlled,82,236,49,69,436
All,mistral,controlled_md,94,213,63,66,436
All,mistral,via_description,48,187,83,118,436
All,mixtral,controlled,219,92,52,73,436
All,mixtral,controlled_md,215,86,63,72,436
All,phi3,controlled_md,99,196,85,56,436
avatar,codestral,controlled_md,136,12,24,51,223
avatar,dolphin-2.6-mistral,controlled,67,51,37,68,223
avatar,dolphin-2.6-mistral,controlled_md,72,49,41,61,223
avatar,dolphin-2.6-mistral,via_description,36,61,44,82,223
avatar,dolphin-2.6-phi-2,controlled,15,131,32,45,223
avatar,dolphin-2.6-phi-2,controlled_md,12,152,29,30,223
avatar,dolphin-2.7-mixtral,controlled_md,86,37,46,54,223
avatar,llama3-8b,controlled_md,55,74,44,50,223
avatar,mistral,controlled,20,143,28,32,223
avatar,mistral,controlled_md,21,121,41,40,223
avatar,mistral,via_description,10,103,52,58,223
avatar,mixtral,controlled,82,64,28,49,223
avatar,mixtral,controlled_md,79,52,41,51,223
avatar,phi3,controlled_md,37,105,41,40,223
bithacks,codestral,controlled_md,7,1,4,2,14
bithacks,dolphin-2.6-mistral,controlled,4,4,5,1,14
bithacks,dolphin-2.6-mistral,controlled_md,5,5,4,0,14
bithacks,dolphin-2.6-mistral,via_description,2,7,0,5,14
bithacks,dolphin-2.6-phi-2,controlled,1,10,2,1,14
bithacks,dolphin-2.6-phi-2,controlled_md,1,9,4,0,14
bithacks,dolphin-2.7-mixtral,controlled_md,5,5,1,3,14
bithacks,llama3-8b,controlled_md,7,5,1,1,14
bithacks,mistral,controlled,3,9,1,1,14
bithacks,mistral,controlled_md,2,11,0,1,14
bithacks,mistral,via_description,4,6,0,4,14
bithacks,mixtral,controlled,7,2,1,4,14
bithacks,mixtral,controlled_md,7,3,1,3,14
bithacks,phi3,controlled_md,5,9,0,0,14
codenet,codestral,controlled_md,174,5,8,12,199
codenet,dolphin-2.6-mistral,controlled,123,24,27,25,199
codenet,dolphin-2.6-mistral,controlled_md,119,31,26,23,199
codenet,dolphin-2.6-mistral,via_description,60,41,24,74,199
codenet,dolphin-2.6-phi-2,controlled,51,93,24,31,199
codenet,dolphin-2.6-phi-2,controlled_md,32,95,32,40,199
codenet,dolphin-2.7-mixtral,controlled_md,139,31,18,11,199
codenet,llama3-8b,controlled_md,98,46,32,21,197
codenet,mistral,controlled,59,84,20,36,199
codenet,mistral,controlled_md,71,81,22,25,199
codenet,mistral,via_description,34,78,31,56,199
codenet,mixtral,controlled,130,26,23,20,199
codenet,mixtral,controlled_md,129,31,21,18,199
codenet,phi3,controlled_md,57,82,44,16,199
