Dataset,Model,Prompt,success,compile,runtime,incorrect,All
All,codestral,controlled_md,266,76,56,38,436
All,dolphin-2.6-mistral,controlled,81,289,38,28,436
All,dolphin-2.6-mistral,controlled_md,70,293,42,31,436
All,dolphin-2.6-mistral,via_description,45,280,59,52,436
All,dolphin-2.6-phi-2,controlled,0,428,0,8,436
All,dolphin-2.6-phi-2,controlled_md,0,424,3,9,436
All,dolphin-2.7-mixtral,controlled_md,129,208,66,33,436
All,llama3-8b,controlled_md,73,283,33,45,434
All,mistral,controlled,3,419,6,8,436
All,mistral,controlled_md,6,414,7,9,436
All,mistral,via_description,11,385,11,29,436
All,mixtral,controlled,97,289,22,28,436
All,mixtral,controlled_md,97,276,27,36,436
All,phi3,controlled_md,28,379,10,19,436
avatar,codestral,controlled_md,105,47,40,31,223
avatar,dolphin-2.6-mistral,controlled,25,162,21,15,223
avatar,dolphin-2.6-mistral,controlled_md,21,168,22,12,223
avatar,dolphin-2.6-mistral,via_description,11,158,31,23,223
avatar,dolphin-2.6-phi-2,controlled,0,218,0,5,223
avatar,dolphin-2.6-phi-2,controlled_md,0,220,0,3,223
avatar,dolphin-2.7-mixtral,controlled_md,44,113,44,22,223
avatar,llama3-8b,controlled_md,9,174,14,26,223
avatar,mistral,controlled,0,216,3,4,223
avatar,mistral,controlled_md,1,216,2,4,223
avatar,mistral,via_description,1,207,3,12,223
avatar,mixtral,controlled,27,166,12,18,223
avatar,mixtral,controlled_md,31,152,19,21,223
avatar,phi3,controlled_md,2,211,4,6,223
bithacks,codestral,controlled_md,7,4,3,0,14
bithacks,dolphin-2.6-mistral,controlled,2,11,0,1,14
bithacks,dolphin-2.6-mistral,controlled_md,6,7,0,1,14
bithacks,dolphin-2.6-mistral,via_description,1,8,4,1,14
bithacks,dolphin-2.6-phi-2,controlled,0,14,0,0,14
bithacks,dolphin-2.6-phi-2,controlled_md,0,14,0,0,14
bithacks,dolphin-2.7-mixtral,controlled_md,4,7,3,0,14
bithacks,llama3-8b,controlled_md,2,9,2,1,14
bithacks,mistral,controlled,1,13,0,0,14
bithacks,mistral,controlled_md,1,12,0,1,14
bithacks,mistral,via_description,1,12,0,1,14
bithacks,mixtral,controlled,4,9,0,1,14
bithacks,mixtral,controlled_md,2,9,1,2,14
bithacks,phi3,controlled_md,0,13,1,0,14
codenet,codestral,controlled_md,154,25,13,7,199
codenet,dolphin-2.6-mistral,controlled,54,116,17,12,199
codenet,dolphin-2.6-mistral,controlled_md,43,118,20,18,199
codenet,dolphin-2.6-mistral,via_description,33,114,24,28,199
codenet,dolphin-2.6-phi-2,controlled,0,196,0,3,199
codenet,dolphin-2.6-phi-2,controlled_md,0,190,3,6,199
codenet,dolphin-2.7-mixtral,controlled_md,81,88,19,11,199
codenet,llama3-8b,controlled_md,62,100,17,18,197
codenet,mistral,controlled,2,190,3,4,199
codenet,mistral,controlled_md,4,186,5,4,199
codenet,mistral,via_description,9,166,8,16,199
codenet,mixtral,controlled,66,114,10,9,199
codenet,mixtral,controlled_md,64,115,7,13,199
codenet,phi3,controlled_md,26,155,5,13,199
