Model,,Codestral,D-Mistral,D-Mistral,D-Mistral,D-Phi-2,D-Phi-2,D-Mixtral,Llama 3,Mistral,Mistral,Mistral,Mixtral,Mixtral,Phi-3
Prompt,,MD,RM,MD,VT,RM,MD,MD,MD,RM,MD,VT,RM,MD,MD
Dataset,result_1,,,,,,,,,,,,,,
All,success,60.51282051282051,35.8974358974359,38.97435897435898,25.64102564102564,28.205128205128204,11.282051282051283,41.02564102564102,38.46153846153847,22.05128205128205,16.41025641025641,14.871794871794872,27.692307692307693,26.666666666666668,27.692307692307693
All,compile,0.0,5.128205128205128,9.230769230769232,9.743589743589745,28.717948717948715,24.102564102564102,12.307692307692308,5.641025641025641,24.102564102564102,27.692307692307693,12.307692307692308,37.43589743589744,30.256410256410255,9.743589743589745
All,runtime,35.38461538461539,40.0,35.38461538461539,40.51282051282051,26.666666666666668,16.923076923076923,37.43589743589744,47.179487179487175,36.41025641025641,42.56410256410256,38.97435897435898,18.974358974358974,26.153846153846157,49.23076923076923
All,incorrect,4.102564102564102,18.974358974358974,16.41025641025641,24.102564102564102,16.41025641025641,47.69230769230769,9.230769230769232,8.717948717948717,17.435897435897434,13.333333333333334,33.84615384615385,15.897435897435896,16.923076923076923,13.333333333333334
All,All,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
codenet,success,60.51282051282051,35.8974358974359,38.97435897435898,25.64102564102564,28.205128205128204,11.282051282051283,41.02564102564102,38.46153846153847,22.05128205128205,16.41025641025641,14.871794871794872,27.692307692307693,26.666666666666668,27.692307692307693
codenet,compile,0.0,5.128205128205128,9.230769230769232,9.743589743589745,28.717948717948715,24.102564102564102,12.307692307692308,5.641025641025641,24.102564102564102,27.692307692307693,12.307692307692308,37.43589743589744,30.256410256410255,9.743589743589745
codenet,runtime,35.38461538461539,40.0,35.38461538461539,40.51282051282051,26.666666666666668,16.923076923076923,37.43589743589744,47.179487179487175,36.41025641025641,42.56410256410256,38.97435897435898,18.974358974358974,26.153846153846157,49.23076923076923
codenet,incorrect,4.102564102564102,18.974358974358974,16.41025641025641,24.102564102564102,16.41025641025641,47.69230769230769,9.230769230769232,8.717948717948717,17.435897435897434,13.333333333333334,33.84615384615385,15.897435897435896,16.923076923076923,13.333333333333334
codenet,All,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
