Model,,Codestral,D-Mistral,D-Mistral,D-Mistral,D-Phi-2,D-Phi-2,D-Mixtral,Llama 3,Mistral,Mistral,Mistral,Mixtral,Mixtral,Phi-3
Prompt,,MD,RM,MD,VT,RM,MD,MD,MD,RM,MD,VT,RM,MD,MD
Dataset,result_1,,,,,,,,,,,,,,
All,success,47.12918660287082,6.220095693779904,7.894736842105263,4.0669856459330145,0.0,0.23923444976076555,12.440191387559809,1.674641148325359,4.0669856459330145,5.023923444976076,1.9138755980861244,13.157894736842104,12.440191387559809,0.7177033492822966
All,compile,33.014354066985646,78.22966507177034,74.64114832535886,70.81339712918661,98.80382775119617,97.60765550239235,67.22488038277513,92.82296650717703,86.8421052631579,86.8421052631579,83.01435406698565,73.68421052631578,70.33492822966507,94.97607655502392
All,runtime,3.588516746411483,2.8708133971291865,3.110047846889952,5.502392344497608,0.23923444976076555,0.23923444976076555,3.827751196172249,0.9569377990430622,2.8708133971291865,2.3923444976076556,2.8708133971291865,1.1961722488038278,4.0669856459330145,0.0
All,incorrect,16.267942583732058,12.679425837320574,14.354066985645932,19.617224880382775,0.9569377990430622,1.9138755980861244,16.507177033492823,4.545454545454546,6.220095693779904,5.741626794258373,12.200956937799043,11.961722488038278,13.157894736842104,4.30622009569378
All,All,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
avatar,success,42.34234234234234,4.954954954954955,6.756756756756757,4.504504504504505,0.0,0.45045045045045046,10.81081081081081,0.9009009009009009,3.153153153153153,4.504504504504505,0.9009009009009009,9.90990990990991,11.26126126126126,0.45045045045045046
avatar,compile,37.38738738738739,80.18018018018019,75.67567567567568,71.62162162162163,98.1981981981982,96.84684684684684,72.97297297297297,92.34234234234235,88.73873873873875,89.63963963963964,83.33333333333334,74.32432432432432,72.52252252252252,96.3963963963964
avatar,runtime,4.954954954954955,2.2522522522522523,3.153153153153153,7.207207207207207,0.0,0.0,3.6036036036036037,1.3513513513513513,3.153153153153153,2.7027027027027026,3.153153153153153,0.9009009009009009,3.153153153153153,0.0
avatar,incorrect,15.315315315315313,12.612612612612612,14.414414414414415,16.666666666666664,1.8018018018018018,2.7027027027027026,12.612612612612612,5.405405405405405,4.954954954954955,3.153153153153153,12.612612612612612,14.864864864864865,13.063063063063062,3.153153153153153
avatar,All,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
codenet,success,52.55102040816326,7.653061224489796,9.183673469387756,3.571428571428571,0.0,0.0,14.285714285714285,2.5510204081632653,5.1020408163265305,5.612244897959184,3.061224489795918,16.83673469387755,13.77551020408163,1.0204081632653061
codenet,compile,28.061224489795915,76.0204081632653,73.46938775510205,69.89795918367348,99.48979591836735,98.46938775510205,60.71428571428571,93.36734693877551,84.6938775510204,83.6734693877551,82.6530612244898,72.95918367346938,67.85714285714286,93.36734693877551
codenet,runtime,2.0408163265306123,3.571428571428571,3.061224489795918,3.571428571428571,0.5102040816326531,0.5102040816326531,4.081632653061225,0.5102040816326531,2.5510204081632653,2.0408163265306123,2.5510204081632653,1.530612244897959,5.1020408163265305,0.0
codenet,incorrect,17.346938775510203,12.755102040816327,14.285714285714285,22.95918367346939,0.0,1.0204081632653061,20.918367346938776,3.571428571428571,7.653061224489796,8.673469387755102,11.73469387755102,8.673469387755102,13.26530612244898,5.612244897959184
codenet,All,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
