Model,,Codestral,D-Mistral,D-Mistral,D-Mistral,D-Phi-2,D-Phi-2,D-Mixtral,Llama 3,Mistral,Mistral,Mistral,Mixtral,Mixtral,Phi-3
Prompt,,MD,RM,MD,VT,RM,MD,MD,MD,RM,MD,VT,RM,MD,MD
Dataset,result_1,,,,,,,,,,,,,,
All,success,60.76555023923444,17.942583732057415,24.401913875598087,16.74641148325359,14.354066985645932,4.784688995215311,32.29665071770335,28.22966507177033,13.875598086124402,16.507177033492823,7.894736842105263,22.00956937799043,30.62200956937799,22.966507177033492
All,compile,0.23923444976076555,28.708133971291865,6.937799043062201,13.875598086124402,21.5311004784689,36.36363636363637,3.588516746411483,3.827751196172249,11.24401913875598,11.24401913875598,10.76555023923445,34.44976076555024,8.373205741626794,3.827751196172249
All,runtime,29.904306220095695,29.665071770334926,38.27751196172249,37.08133971291866,38.27751196172249,18.660287081339714,44.97607655502392,54.066985645933016,52.39234449760766,54.54545454545454,47.84688995215311,32.77511961722488,41.866028708133975,58.133971291866025
All,incorrect,9.090909090909092,23.684210526315788,30.38277511961722,32.29665071770335,25.837320574162682,40.19138755980861,19.138755980861244,13.875598086124402,22.48803827751196,17.703349282296653,33.49282296650718,10.76555023923445,19.138755980861244,15.07177033492823
All,All,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
avatar,success,66.66666666666666,13.963963963963963,24.324324324324326,17.117117117117118,8.108108108108109,1.8018018018018018,28.82882882882883,26.576576576576578,11.26126126126126,11.711711711711711,7.207207207207207,18.01801801801802,26.126126126126124,15.765765765765765
avatar,compile,0.0,31.08108108108108,6.756756756756757,13.513513513513514,20.72072072072072,44.5945945945946,3.6036036036036037,3.153153153153153,14.414414414414415,12.162162162162163,11.26126126126126,40.090090090090094,10.36036036036036,2.2522522522522523
avatar,runtime,22.52252252252252,27.47747747747748,34.68468468468468,34.68468468468468,43.24324324324324,20.72072072072072,43.69369369369369,57.65765765765766,52.702702702702695,60.810810810810814,48.1981981981982,30.180180180180184,39.63963963963964,65.31531531531532
avatar,incorrect,10.81081081081081,27.47747747747748,34.234234234234236,34.68468468468468,27.927927927927925,32.88288288288289,23.873873873873876,12.612612612612612,21.62162162162162,15.315315315315313,33.33333333333333,11.711711711711711,23.873873873873876,16.666666666666664
avatar,All,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
codenet,success,54.08163265306123,22.448979591836736,24.489795918367346,16.3265306122449,21.428571428571427,8.16326530612245,36.224489795918366,30.102040816326532,16.83673469387755,21.93877551020408,8.673469387755102,26.53061224489796,35.714285714285715,31.122448979591837
codenet,compile,0.5102040816326531,26.02040816326531,7.142857142857142,14.285714285714285,22.448979591836736,27.040816326530614,3.571428571428571,4.591836734693878,7.653061224489796,10.204081632653061,10.204081632653061,28.061224489795915,6.122448979591836,5.612244897959184
codenet,runtime,38.265306122448976,32.142857142857146,42.3469387755102,39.795918367346935,32.6530612244898,16.3265306122449,46.42857142857143,50.0,52.04081632653062,47.44897959183674,47.44897959183674,35.714285714285715,44.38775510204081,50.0
codenet,incorrect,7.142857142857142,19.387755102040817,26.02040816326531,29.591836734693878,23.46938775510204,48.46938775510204,13.77551020408163,15.306122448979592,23.46938775510204,20.408163265306122,33.6734693877551,9.693877551020408,13.77551020408163,13.26530612244898
codenet,All,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
