Model,,Codestral,D-Mistral,D-Mistral,D-Mistral,D-Phi-2,D-Phi-2,D-Mixtral,Llama 3,Mistral,Mistral,Mistral,Mixtral,Mixtral,Phi-3
Prompt,,MD,RM,MD,VT,RM,MD,MD,MD,RM,MD,VT,RM,MD,MD
Dataset,result_1,,,,,,,,,,,,,,
All,success,43.301435406698566,8.61244019138756,9.330143540669857,8.373205741626794,0.0,0.0,15.550239234449762,5.502392344497608,0.23923444976076555,0.7177033492822966,0.7177033492822966,11.004784688995215,11.24401913875598,0.7177033492822966
All,compile,19.85645933014354,67.46411483253588,65.55023923444976,65.78947368421053,97.1291866028708,97.60765550239235,55.50239234449761,85.64593301435407,96.88995215311004,92.58373205741627,88.51674641148325,72.00956937799043,66.98564593301435,89.23444976076556
All,runtime,29.665071770334926,15.789473684210526,17.942583732057415,15.07177033492823,0.4784688995215311,0.23923444976076555,23.205741626794257,6.220095693779904,0.4784688995215311,3.349282296650718,3.827751196172249,12.918660287081341,14.832535885167463,3.827751196172249
All,incorrect,7.177033492822966,8.133971291866029,7.177033492822966,10.76555023923445,2.3923444976076556,2.15311004784689,5.741626794258373,2.631578947368421,2.3923444976076556,3.349282296650718,6.937799043062201,4.0669856459330145,6.937799043062201,6.220095693779904
All,All,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
avatar,success,39.63963963963964,4.954954954954955,5.8558558558558556,5.8558558558558556,0.0,0.0,12.612612612612612,1.8018018018018018,0.0,0.9009009009009009,0.0,8.108108108108109,5.8558558558558556,0.45045045045045046
avatar,compile,22.52252252252252,71.17117117117117,67.11711711711712,72.07207207207207,96.84684684684684,98.1981981981982,58.55855855855856,92.7927927927928,98.1981981981982,96.3963963963964,93.69369369369369,75.67567567567568,72.97297297297297,93.69369369369369
avatar,runtime,28.82882882882883,15.315315315315313,18.91891891891892,13.063063063063062,0.45045045045045046,0.0,22.52252252252252,3.6036036036036037,0.0,1.3513513513513513,1.8018018018018018,11.711711711711711,13.513513513513514,1.3513513513513513
avatar,incorrect,9.00900900900901,8.558558558558559,8.108108108108109,9.00900900900901,2.7027027027027026,1.8018018018018018,6.306306306306306,1.8018018018018018,1.8018018018018018,1.3513513513513513,4.504504504504505,4.504504504504505,7.657657657657657,4.504504504504505
avatar,All,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
codenet,success,47.44897959183674,12.755102040816327,13.26530612244898,11.224489795918368,0.0,0.0,18.877551020408163,9.693877551020408,0.5102040816326531,0.5102040816326531,1.530612244897959,14.285714285714285,17.346938775510203,1.0204081632653061
codenet,compile,16.83673469387755,63.26530612244898,63.775510204081634,58.673469387755105,97.44897959183673,96.93877551020408,52.04081632653062,77.55102040816327,95.40816326530613,88.26530612244898,82.6530612244898,67.85714285714286,60.204081632653065,84.18367346938776
codenet,runtime,30.612244897959183,16.3265306122449,16.83673469387755,17.346938775510203,0.5102040816326531,0.5102040816326531,23.97959183673469,9.183673469387756,1.0204081632653061,5.612244897959184,6.122448979591836,14.285714285714285,16.3265306122449,6.63265306122449
codenet,incorrect,5.1020408163265305,7.653061224489796,6.122448979591836,12.755102040816327,2.0408163265306123,2.5510204081632653,5.1020408163265305,3.571428571428571,3.061224489795918,5.612244897959184,9.693877551020408,3.571428571428571,6.122448979591836,8.16326530612245
codenet,All,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
