Model,,Codestral,D-Mistral,D-Mistral,D-Mistral,D-Phi-2,D-Phi-2,D-Mixtral,Llama 3,Mistral,Mistral,Mistral,Mixtral,Mixtral,Phi-3
Prompt,,MD,RM,MD,VT,RM,MD,MD,MD,RM,MD,VT,RM,MD,MD
Dataset,result_1,,,,,,,,,,,,,,
All,success,74.31192660550458,43.34862385321101,40.825688073394495,9.174311926605505,9.63302752293578,5.963302752293578,46.559633027522935,38.0184331797235,9.862385321100918,14.449541284403669,1.3761467889908259,36.46788990825688,39.44954128440367,20.412844036697248
All,compile,5.963302752293578,20.642201834862387,24.08256880733945,22.477064220183486,59.862385321100916,68.11926605504587,19.724770642201836,31.336405529953915,54.357798165137616,53.899082568807344,47.706422018348626,20.18348623853211,16.972477064220186,42.88990825688073
All,runtime,7.568807339449542,14.449541284403669,12.155963302752294,25.91743119266055,17.660550458715598,15.36697247706422,13.990825688073393,11.751152073732719,12.844036697247708,13.302752293577983,25.458715596330272,9.862385321100918,10.77981651376147,11.46788990825688
All,incorrect,12.155963302752294,21.55963302752294,22.93577981651376,42.43119266055046,12.844036697247708,10.550458715596331,19.724770642201836,18.89400921658986,22.93577981651376,18.34862385321101,25.458715596330272,33.48623853211009,32.798165137614674,25.229357798165136
All,All,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
avatar,success,62.78026905829597,34.52914798206278,30.94170403587444,5.829596412556054,5.381165919282512,4.0358744394618835,33.18385650224215,24.2152466367713,4.0358744394618835,10.31390134529148,0.8968609865470852,27.3542600896861,27.3542600896861,10.31390134529148
avatar,compile,7.174887892376682,25.112107623318387,26.45739910313901,28.699551569506728,67.71300448430493,74.88789237668162,26.905829596412556,40.35874439461883,62.33183856502242,60.53811659192825,50.224215246636774,23.318385650224215,21.524663677130047,51.569506726457405
avatar,runtime,13.452914798206278,18.385650224215247,16.143497757847534,28.251121076233183,14.798206278026907,12.556053811659194,17.48878923766816,13.004484304932735,13.452914798206278,12.556053811659194,25.56053811659193,15.695067264573993,16.143497757847534,13.452914798206278
avatar,incorrect,16.591928251121075,21.973094170403588,26.45739910313901,37.219730941704036,12.10762331838565,8.520179372197308,22.421524663677133,22.421524663677133,20.179372197309416,16.591928251121075,23.318385650224215,33.6322869955157,34.97757847533632,24.663677130044842
avatar,All,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
bithacks,success,78.57142857142857,35.714285714285715,28.57142857142857,0.0,28.57142857142857,0.0,35.714285714285715,28.57142857142857,14.285714285714285,7.142857142857142,0.0,28.57142857142857,28.57142857142857,0.0
bithacks,compile,0.0,35.714285714285715,42.857142857142854,28.57142857142857,57.14285714285714,78.57142857142857,21.428571428571427,42.857142857142854,42.857142857142854,57.14285714285714,35.714285714285715,14.285714285714285,21.428571428571427,42.857142857142854
bithacks,runtime,7.142857142857142,0.0,0.0,7.142857142857142,0.0,0.0,0.0,0.0,14.285714285714285,21.428571428571427,21.428571428571427,7.142857142857142,0.0,14.285714285714285
bithacks,incorrect,14.285714285714285,28.57142857142857,28.57142857142857,64.28571428571429,14.285714285714285,21.428571428571427,42.857142857142854,28.57142857142857,28.57142857142857,14.285714285714285,42.857142857142854,50.0,50.0,42.857142857142854
bithacks,All,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
codenet,success,86.93467336683418,53.768844221105525,52.76381909547738,13.5678391959799,13.06532663316583,8.542713567839195,62.311557788944725,54.314720812182735,16.08040201005025,19.597989949748744,2.0100502512562812,47.23618090452261,53.768844221105525,33.165829145728644
codenet,compile,5.025125628140704,14.572864321608039,20.100502512562816,15.07537688442211,51.256281407035175,59.798994974874375,11.557788944723619,20.304568527918782,46.231155778894475,46.231155778894475,45.7286432160804,17.08542713567839,11.557788944723619,33.165829145728644
codenet,runtime,1.0050251256281406,11.055276381909549,8.542713567839195,24.623115577889447,22.110552763819097,19.597989949748744,11.055276381909549,11.16751269035533,12.060301507537687,13.5678391959799,25.628140703517587,3.5175879396984926,5.527638190954774,9.045226130653267
codenet,incorrect,7.035175879396985,20.603015075376884,18.592964824120603,46.733668341708544,13.5678391959799,12.060301507537687,15.07537688442211,14.213197969543149,25.628140703517587,20.603015075376884,26.633165829145728,32.1608040201005,29.145728643216078,24.623115577889447
codenet,All,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
