Model,,Codestral,D-Mistral,D-Mistral,D-Mistral,D-Phi-2,D-Phi-2,D-Mixtral,Llama 3,Mistral,Mistral,Mistral,Mixtral,Mixtral,Phi-3
Prompt,,MD,RM,MD,VT,RM,MD,MD,MD,RM,MD,VT,RM,MD,MD
Dataset,result_1,,,,,,,,,,,,,,
All,success,72.70642201834863,44.4954128440367,44.95412844036697,22.477064220183486,15.36697247706422,10.321100917431194,52.752293577981646,36.86635944700461,18.807339449541285,21.55963302752294,11.009174311926607,50.22935779816514,49.31192660550459,22.706422018348622
All,compile,4.128440366972478,18.11926605504587,19.495412844036696,25.0,53.669724770642205,58.71559633027523,16.743119266055047,28.80184331797235,54.12844036697248,48.853211009174316,42.88990825688073,21.100917431192663,19.724770642201836,44.95412844036697
All,runtime,8.256880733944955,15.825688073394495,16.28440366972477,15.59633027522936,13.302752293577983,14.908256880733944,14.908256880733944,17.741935483870968,11.238532110091743,14.449541284403669,19.03669724770642,11.926605504587156,14.449541284403669,19.495412844036696
All,incorrect,14.908256880733944,21.55963302752294,19.26605504587156,36.92660550458716,17.660550458715598,16.055045871559635,15.59633027522936,16.589861751152075,15.825688073394495,15.137614678899084,27.06422018348624,16.743119266055047,16.51376146788991,12.844036697247708
All,All,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
avatar,success,60.98654708520179,30.04484304932735,32.28699551569507,16.143497757847534,6.726457399103139,5.381165919282512,38.56502242152467,24.663677130044842,8.968609865470851,9.417040358744394,4.484304932735426,36.771300448430495,35.42600896860987,16.591928251121075
avatar,compile,5.381165919282512,22.869955156950674,21.973094170403588,27.3542600896861,58.744394618834086,68.16143497757847,16.591928251121075,33.18385650224215,64.12556053811659,54.26008968609865,46.18834080717489,28.699551569506728,23.318385650224215,47.08520179372198
avatar,runtime,10.762331838565023,16.591928251121075,18.385650224215247,19.730941704035875,14.349775784753364,13.004484304932735,20.62780269058296,19.730941704035875,12.556053811659194,18.385650224215247,23.318385650224215,12.556053811659194,18.385650224215247,18.385650224215247
avatar,incorrect,22.869955156950674,30.493273542600896,27.3542600896861,36.771300448430495,20.179372197309416,13.452914798206278,24.2152466367713,22.421524663677133,14.349775784753364,17.937219730941703,26.00896860986547,21.973094170403588,22.869955156950674,17.937219730941703
avatar,All,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
bithacks,success,50.0,28.57142857142857,35.714285714285715,14.285714285714285,7.142857142857142,7.142857142857142,35.714285714285715,50.0,21.428571428571427,14.285714285714285,28.57142857142857,50.0,50.0,35.714285714285715
bithacks,compile,7.142857142857142,28.57142857142857,35.714285714285715,50.0,71.42857142857143,64.28571428571429,35.714285714285715,35.714285714285715,64.28571428571429,78.57142857142857,42.857142857142854,14.285714285714285,21.428571428571427,64.28571428571429
bithacks,runtime,28.57142857142857,35.714285714285715,28.57142857142857,0.0,14.285714285714285,28.57142857142857,7.142857142857142,7.142857142857142,7.142857142857142,0.0,0.0,7.142857142857142,7.142857142857142,0.0
bithacks,incorrect,14.285714285714285,7.142857142857142,0.0,35.714285714285715,7.142857142857142,0.0,21.428571428571427,7.142857142857142,7.142857142857142,7.142857142857142,28.57142857142857,28.57142857142857,21.428571428571427,0.0
bithacks,All,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
codenet,success,87.43718592964824,61.80904522613066,59.798994974874375,30.15075376884422,25.628140703517587,16.08040201005025,69.84924623115577,49.746192893401016,29.64824120603015,35.678391959798994,17.08542713567839,65.32663316582915,64.82412060301507,28.643216080402013
codenet,compile,2.512562814070352,12.060301507537687,15.577889447236181,20.603015075376884,46.733668341708544,47.73869346733669,15.577889447236181,23.3502538071066,42.211055276381906,40.7035175879397,39.19597989949749,13.06532663316583,15.577889447236181,41.20603015075377
codenet,runtime,4.0201005025125625,13.5678391959799,13.06532663316583,12.060301507537687,12.060301507537687,16.08040201005025,9.045226130653267,16.243654822335024,10.050251256281408,11.055276381909549,15.577889447236181,11.557788944723619,10.552763819095476,22.110552763819097
codenet,incorrect,6.030150753768844,12.562814070351758,11.557788944723619,37.185929648241206,15.577889447236181,20.100502512562816,5.527638190954774,10.65989847715736,18.090452261306535,12.562814070351758,28.14070351758794,10.050251256281408,9.045226130653267,8.040201005025125
codenet,All,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
