Model,,Codestral,D-Mistral,D-Mistral,D-Mistral,D-Phi-2,D-Phi-2,D-Mixtral,Llama 3,Mistral,Mistral,Mistral,Mixtral,Mixtral,Phi-3
Prompt,,MD,RM,MD,VT,RM,MD,MD,MD,RM,MD,VT,RM,MD,MD
Dataset,result_1,,,,,,,,,,,,,,
All,success,61.00917431192661,18.577981651376145,16.055045871559635,10.321100917431194,0.0,0.0,29.587155963302752,16.82027649769585,0.6880733944954129,1.3761467889908259,2.522935779816514,22.24770642201835,22.24770642201835,6.422018348623854
All,compile,17.431192660550458,66.28440366972477,67.20183486238533,64.22018348623854,98.1651376146789,97.24770642201835,47.706422018348626,65.2073732718894,96.10091743119266,94.95412844036697,88.30275229357798,66.28440366972477,63.30275229357798,86.92660550458714
All,runtime,12.844036697247708,8.715596330275229,9.63302752293578,13.53211009174312,0.0,0.6880733944954129,15.137614678899084,7.603686635944701,1.3761467889908259,1.6055045871559634,2.522935779816514,5.045871559633028,6.192660550458716,2.293577981651376
All,incorrect,8.715596330275229,6.422018348623854,7.110091743119266,11.926605504587156,1.834862385321101,2.064220183486239,7.568807339449542,10.368663594470046,1.834862385321101,2.064220183486239,6.651376146788992,6.422018348623854,8.256880733944955,4.3577981651376145
All,All,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
avatar,success,47.08520179372198,11.210762331838566,9.417040358744394,4.932735426008969,0.0,0.0,19.730941704035875,4.0358744394618835,0.0,0.4484304932735426,0.4484304932735426,12.10762331838565,13.901345291479823,0.8968609865470852
avatar,compile,21.076233183856502,72.6457399103139,75.33632286995515,70.85201793721974,97.75784753363229,98.65470852017937,50.672645739910315,78.02690582959642,96.8609865470852,96.8609865470852,92.82511210762333,74.43946188340807,68.16143497757847,94.61883408071749
avatar,runtime,17.937219730941703,9.417040358744394,9.865470852017937,13.901345291479823,0.0,0.0,19.730941704035875,6.278026905829597,1.345291479820628,0.8968609865470852,1.345291479820628,5.381165919282512,8.520179372197308,1.7937219730941705
avatar,incorrect,13.901345291479823,6.726457399103139,5.381165919282512,10.31390134529148,2.242152466367713,1.345291479820628,9.865470852017937,11.659192825112108,1.7937219730941705,1.7937219730941705,5.381165919282512,8.071748878923767,9.417040358744394,2.690582959641256
avatar,All,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
bithacks,success,50.0,14.285714285714285,42.857142857142854,7.142857142857142,0.0,0.0,28.57142857142857,14.285714285714285,7.142857142857142,7.142857142857142,7.142857142857142,28.57142857142857,14.285714285714285,0.0
bithacks,compile,28.57142857142857,78.57142857142857,50.0,57.14285714285714,100.0,100.0,50.0,64.28571428571429,92.85714285714286,85.71428571428571,85.71428571428571,64.28571428571429,64.28571428571429,92.85714285714286
bithacks,runtime,21.428571428571427,0.0,0.0,28.57142857142857,0.0,0.0,21.428571428571427,14.285714285714285,0.0,0.0,0.0,0.0,7.142857142857142,7.142857142857142
bithacks,incorrect,0.0,7.142857142857142,7.142857142857142,7.142857142857142,0.0,0.0,0.0,7.142857142857142,0.0,7.142857142857142,7.142857142857142,7.142857142857142,14.285714285714285,0.0
bithacks,All,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
codenet,success,77.38693467336684,27.1356783919598,21.608040201005025,16.582914572864322,0.0,0.0,40.7035175879397,31.472081218274113,1.0050251256281406,2.0100502512562812,4.522613065326634,33.165829145728644,32.1608040201005,13.06532663316583
codenet,compile,12.562814070351758,58.291457286432156,59.2964824120603,57.286432160804026,98.49246231155779,95.47738693467338,44.221105527638194,50.76142131979695,95.47738693467338,93.46733668341709,83.41708542713567,57.286432160804026,57.78894472361809,77.88944723618091
codenet,runtime,6.532663316582915,8.542713567839195,10.050251256281408,12.060301507537687,0.0,1.507537688442211,9.547738693467336,8.629441624365482,1.507537688442211,2.512562814070352,4.0201005025125625,5.025125628140704,3.5175879396984926,2.512562814070352
codenet,incorrect,3.5175879396984926,6.030150753768844,9.045226130653267,14.07035175879397,1.507537688442211,3.015075376884422,5.527638190954774,9.137055837563452,2.0100502512562812,2.0100502512562812,8.040201005025125,4.522613065326634,6.532663316582915,6.532663316582915
codenet,All,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
