model_name,,Codestral,Codestral,Codestral,D-Mistral,D-Mistral,D-Mistral,D-Mixtral,D-Mixtral,D-Mixtral,Mistral,Mistral,Mistral,Mixtral,Mixtral,Mixtral
,,result_1,result_2,Diff.,result_1,result_2,Diff.,result_1,result_2,Diff.,result_1,result_2,Diff.,result_1,result_2,Diff.
dataset,,,,,,,,,,,,,,,,
All,Total,4196,4196,4196,4196,4196,4196,4196,4196,4196,4196,4196,4196,4196,4196,4196
All,compile,583,366,-217,1933,2149,216,1625,1413,-212,2900,2738,-162,2014,1708,-306
All,incorrect,402,336,-66,633,440,-193,552,551,-1,382,415,33,596,592,-4
All,runtime,849,543,-306,677,511,-166,864,860,-4,557,554,-3,615,503,-112
All,success,2362,2951,589,953,1096,143,1155,1372,217,357,489,132,971,1393,422
avatar,Total,1780,1780,1780,1780,1780,1780,1780,1780,1780,1780,1780,1780,1780,1780,1780
avatar,compile,307,180,-127,911,1260,349,757,686,-71,1305,1232,-73,946,840,-106
avatar,incorrect,240,182,-58,297,101,-196,270,280,10,136,159,23,277,266,-11
avatar,runtime,349,236,-113,276,107,-169,383,370,-13,240,243,3,257,241,-16
avatar,success,884,1182,298,296,312,16,370,444,74,99,146,47,300,433,133
bithacks,Total,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56
bithacks,compile,10,6,-4,31,20,-11,27,25,-2,44,41,-3,22,16,-6
bithacks,incorrect,6,10,4,6,12,6,9,8,-1,5,4,-1,15,13,-2
bithacks,runtime,9,4,-5,4,4,0,4,5,1,3,3,0,2,1,-1
bithacks,success,31,36,5,15,20,5,16,18,2,4,8,4,17,26,9
codenet,Total,2360,2360,2360,2360,2360,2360,2360,2360,2360,2360,2360,2360,2360,2360,2360
codenet,compile,266,180,-86,991,869,-122,841,702,-139,1551,1465,-86,1046,852,-194
codenet,incorrect,156,144,-12,330,327,-3,273,263,-10,241,252,11,304,313,9
codenet,runtime,491,303,-188,397,400,3,477,485,8,314,308,-6,356,261,-95
codenet,success,1447,1733,286,642,764,122,769,910,141,254,335,81,654,934,280
